                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6487,                 3.9164,                 4.2095,                0.00178,                 0.2076,                0.00137,                0.00051,                 3.3894,                 4.0051,                 4.1056,                 0.0874,                 0.0014,                 0.0014
                      2,                 3.6585,                 3.7382,                 4.0861,                0.00185,                0.21637,                0.00151,                0.00055,                 3.3116,                 3.8098,                 3.9851,               0.073886,              0.0028856,              0.0028856
                      3,                 3.6086,                 3.6169,                 3.9374,                0.00198,                0.23099,                0.00164,                0.00057,                 3.2575,                 3.8649,                 3.8698,               0.060356,              0.0043564,              0.0043564
                      4,                 3.4783,                 3.5434,                 3.8258,                0.00193,                0.22515,                0.00163,                0.00058,                 3.2514,                 3.9901,                 3.8175,               0.046812,              0.0058124,              0.0058124
                      5,                 3.2915,                 3.4268,                 3.7119,                0.00198,                0.23099,                0.00158,                0.00056,                  3.255,                 4.0196,                 3.7972,               0.033253,              0.0072535,              0.0072535
                      6,                 3.2996,                 3.3193,                 3.6368,                0.00246,                0.24269,                0.00213,                0.00059,                 3.2109,                 3.9995,                 3.7292,                0.01968,              0.0086797,              0.0086797
                      7,                 3.0888,                 3.2587,                 3.4903,                0.01151,                0.02047,                0.00284,                0.00104,                 3.0432,                 6.6326,                 3.4983,               0.009703,               0.009703,               0.009703
                      8,                 3.0629,                 3.1953,                 3.3549,                0.09504,                0.03801,                0.01393,                0.00332,                 2.9701,                 5.3944,                 3.5176,               0.009703,               0.009703,               0.009703
                      9,                 2.9689,                 3.1887,                 3.2522,                0.04092,                0.09064,                0.01616,                0.00573,                 2.8411,                 5.4858,                 3.5008,              0.0096535,              0.0096535,              0.0096535
                     10,                 2.9328,                 3.0723,                 3.1451,                0.00592,                0.17251,                0.00389,                0.00143,                 3.0815,                    inf,                 6.8012,               0.009604,               0.009604,               0.009604
                     11,                 2.8441,                 3.0567,                 3.0688,                0.03682,                0.05263,                0.01108,                0.00312,                 2.9564,                 4.7426,                 4.6356,              0.0095545,              0.0095545,              0.0095545
                     12,                 2.7896,                 2.9967,                 2.9977,                0.02061,                0.04971,                0.00707,                0.00201,                 2.8469,                 4.3666,                 3.6621,               0.009505,               0.009505,               0.009505
