                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6591,                 3.9089,                 4.2008,                0.00188,                 0.2193,                0.00178,                0.00063,                 3.3568,                  3.917,                 4.0495,                 0.0874,                 0.0014,                 0.0014
                      2,                 3.5992,                 3.6483,                 3.9898,                0.00195,                0.22807,                0.00161,                0.00058,                 3.2748,                 3.9049,                 3.8883,               0.073886,              0.0028856,              0.0028856
                      3,                 3.4482,                 3.3801,                 3.7937,                0.00201,                0.23392,                 0.0016,                0.00056,                 3.2543,                 4.0594,                 3.8199,               0.060356,              0.0043564,              0.0043564
                      4,                 3.2471,                 3.2533,                 3.6198,                0.00383,                0.11111,                0.00243,                  0.001,                 3.2567,                 3.8649,                 3.8027,               0.046812,              0.0058124,              0.0058124
                      5,                 3.1697,                 3.1913,                 3.4834,                0.00805,                0.04971,                0.00425,                 0.0015,                 3.1967,                 3.8907,                 3.7465,               0.033253,              0.0072535,              0.0072535
                      6,                 3.0736,                 3.0841,                 3.3821,                0.00336,                 0.3655,                0.00392,                0.00126,                 2.9768,                 3.8539,                  3.467,                0.01968,              0.0086797,              0.0086797
                      7,                 2.9802,                 3.0402,                 3.2435,                0.04296,                0.04094,                0.01202,                0.00388,                 2.8597,                  21.81,                 3.2219,               0.009703,               0.009703,               0.009703
                      8,                 2.8628,                  2.996,                 3.1231,                0.06542,                0.02047,                0.00725,                0.00213,                 3.4646,                    inf,                 4.5223,               0.009703,               0.009703,               0.009703
                      9,                 2.7099,                 2.8804,                 3.0059,                0.03373,                0.18713,                0.02667,                 0.0075,                 3.0773,                 63.166,                 3.7952,              0.0096535,              0.0096535,              0.0096535
                     10,                 2.6702,                 2.8159,                 2.9013,                0.05947,                0.11404,                0.02591,                0.00812,                 2.6976,                 22.308,                 3.3456,               0.009604,               0.009604,               0.009604
                     11,                 2.5721,                 2.7147,                 2.7948,                0.13466,                0.28947,                0.09885,                0.03416,                 2.3411,                 20.125,                 2.9821,              0.0095545,              0.0095545,              0.0095545
                     12,                 2.4681,                 2.6465,                 2.7228,                0.17985,                0.21345,                0.10816,                0.03561,                 2.4677,                 11.347,                 3.1612,               0.009505,               0.009505,               0.009505
                     13,                 2.3653,                 2.6096,                 2.6534,                0.24109,                0.24854,                  0.159,                0.06487,                 2.1829,                 4.2863,                 2.6266,              0.0094555,              0.0094555,              0.0094555
                     14,                 2.2971,                 2.4918,                 2.5453,                0.25303,                0.24561,                0.17951,                0.06877,                 2.1086,                 2.9738,                 2.5233,               0.009406,               0.009406,               0.009406
                     15,                 2.2659,                 2.4774,                 2.5002,                0.25311,                0.23099,                 0.1744,                0.06889,                 2.1696,                 3.0398,                 2.5877,              0.0093565,              0.0093565,              0.0093565
                     16,                 2.1914,                 2.3548,                 2.4089,                0.34299,                0.32164,                0.24886,                0.09311,                 2.0502,                 10.279,                  2.586,               0.009307,               0.009307,               0.009307
