                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.647,                 3.9362,                 4.2362,                0.00175,                0.20468,                0.00269,                 0.0008,                 3.3855,                 4.0264,                 4.1082,                 0.0874,                 0.0014,                 0.0014
                      2,                 3.6267,                 3.7977,                 4.1061,                0.00175,                0.20468,                0.00211,                0.00066,                 3.3136,                 3.8272,                  3.994,               0.073886,              0.0028856,              0.0028856
                      3,                 3.5276,                 3.6972,                 3.9514,                0.00195,                0.22807,                0.00221,                0.00072,                 3.2492,                 3.7851,                 3.8606,               0.060356,              0.0043564,              0.0043564
                      4,                 3.5495,                 3.5842,                 3.8258,                0.00193,                0.22515,                0.00199,                0.00062,                 3.2372,                 3.9084,                 3.7939,               0.046812,              0.0058124,              0.0058124
                      5,                 3.4201,                 3.4275,                 3.6914,                0.00211,                0.24561,                0.00197,                0.00066,                 3.2421,                 4.0136,                 3.7728,               0.033253,              0.0072535,              0.0072535
                      6,                 3.1879,                 3.3043,                 3.5407,                0.00271,                0.13743,                0.00176,                0.00069,                 3.2215,                 3.9184,                 3.7755,                0.01968,              0.0086797,              0.0086797
                      7,                 2.9912,                 3.1889,                  3.361,                0.01685,                0.04971,                0.00784,                0.00253,                  3.058,                 3.9558,                 3.6912,               0.009703,               0.009703,               0.009703
                      8,                  2.912,                 3.0511,                 3.2234,                0.07582,                0.10526,                 0.0259,                0.00802,                 2.7465,                 9.6585,                 3.3399,               0.009703,               0.009703,               0.009703
                      9,                 2.8404,                 2.9921,                 3.0825,                0.08731,                0.11696,                0.03551,                0.01012,                  2.843,                 6.7379,                 3.5266,              0.0096535,              0.0096535,              0.0096535
                     10,                 2.6554,                  2.874,                 2.9507,                0.17302,                0.12865,                0.07948,                0.02633,                 2.8186,                 12.573,                 3.5117,               0.009604,               0.009604,               0.009604
                     11,                 2.5707,                 2.7359,                 2.8333,                0.05176,                0.09942,                0.02175,                0.00665,                  2.701,                 4.9572,                 3.3064,              0.0095545,              0.0095545,              0.0095545
                     12,                 2.4956,                 2.6746,                 2.7797,                0.02811,                0.22515,                0.01849,                0.00632,                 2.6736,                 47.537,                 3.3323,               0.009505,               0.009505,               0.009505
                     13,                  2.411,                 2.5311,                 2.6685,                0.07635,                0.20787,                0.04013,                0.01475,                 2.3729,                 3.9645,                 2.8963,              0.0094555,              0.0094555,              0.0094555
                     14,                 2.3367,                 2.4622,                 2.5641,                0.18246,                0.23392,                0.11408,                0.04188,                  2.214,                 4.8695,                 2.7125,               0.009406,               0.009406,               0.009406
                     15,                 2.3028,                 2.4384,                 2.5572,                0.30024,                0.30409,                0.24003,                0.09916,                 2.1059,                 5.8194,                 2.6214,              0.0093565,              0.0093565,              0.0093565
                     16,                 2.2458,                 2.3388,                 2.5161,                0.32858,                0.32456,                0.25058,                0.09136,                  2.184,                  7.961,                 2.7975,               0.009307,               0.009307,               0.009307
                     17,                 2.1254,                 2.2446,                 2.4432,                 0.3021,                0.28947,                0.20689,                0.08519,                 2.0855,                 4.0325,                 2.6271,              0.0092575,              0.0092575,              0.0092575
                     18,                 2.1336,                 2.2546,                 2.3945,                0.38838,                 0.2924,                0.26105,                0.09564,                 2.1946,                 3.0007,                 2.8081,               0.009208,               0.009208,               0.009208
                     19,                  2.083,                 2.2062,                 2.3283,                0.32619,                0.29532,                0.22957,                0.08862,                 2.2511,                   2.61,                 2.8272,              0.0091585,              0.0091585,              0.0091585
                     20,                 2.0495,                 2.1945,                 2.3114,                 0.2935,                0.25731,                0.19513,                 0.0761,                  2.054,                 2.5821,                 2.5268,               0.009109,               0.009109,               0.009109
                     21,                 2.0118,                 2.1347,                 2.3049,                0.34326,                0.24299,                0.20596,                0.08227,                 2.1249,                 2.5248,                  2.599,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.9792,                 2.0511,                 2.2232,                0.33051,                0.38596,                0.28508,                0.11592,                 1.9654,                 4.1322,                 2.4417,                0.00901,                0.00901,                0.00901
                     23,                 1.9608,                 2.0631,                 2.2352,                0.10493,                0.25439,                0.06197,                0.02403,                 2.1092,                  8.558,                 2.5936,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.9097,                 1.9774,                 2.1868,                0.47543,                0.33041,                0.36569,                0.16219,                 1.9426,                 2.5126,                 2.3575,               0.008911,               0.008911,               0.008911
                     25,                 1.8572,                 1.9439,                 2.1496,                0.49052,                0.42398,                0.45044,                0.21199,                 1.9105,                   3.18,                 2.4405,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.8635,                 1.9145,                 2.1214,                0.51137,                0.36257,                0.40413,                0.17257,                 1.9302,                 2.6816,                 2.3654,               0.008812,               0.008812,               0.008812
                     27,                 1.8107,                 1.8293,                 2.0673,                0.42806,                0.30702,                0.29229,                 0.1387,                 1.9016,                 2.4553,                 2.3365,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.8054,                 1.8312,                 2.0412,                 0.5374,                0.46196,                0.48483,                0.22807,                 1.8693,                 2.1016,                 2.3297,               0.008713,               0.008713,               0.008713
                     29,                 1.8017,                  1.884,                 2.0393,                0.44304,                 0.4883,                 0.4538,                0.21632,                 1.7096,                 1.8608,                 2.1196,              0.0086635,              0.0086635,              0.0086635
                     30,                  1.775,                 1.7871,                 1.9717,                0.41366,                0.37337,                0.35208,                0.16983,                 1.8304,                 2.2861,                 2.2084,               0.008614,               0.008614,               0.008614
                     31,                 1.7459,                 1.7732,                 1.9648,                0.54833,                0.47953,                0.48768,                0.24545,                 1.7309,                 2.5502,                 2.1729,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.7351,                 1.7525,                 1.9712,                0.54014,                 0.4386,                0.47015,                0.22996,                 1.7879,                 2.2853,                 2.2051,               0.008515,               0.008515,               0.008515
                     33,                 1.7472,                 1.7491,                 1.9855,                 0.5449,                0.37135,                0.38766,                0.18008,                 1.8196,                 2.6521,                 2.1812,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.6984,                 1.7056,                 1.9246,                0.57731,                0.21345,                0.26013,                0.11231,                 1.9522,                 2.6867,                 2.3124,               0.008416,               0.008416,               0.008416
