                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6709,                 4.0037,                 4.2634,                0.00183,                0.21345,                0.00144,                0.00055,                 3.4004,                 4.0837,                 4.1264,                 0.0874,                 0.0014,                 0.0014
                      2,                 3.6127,                  3.807,                 4.1558,                0.00185,                0.21637,                0.00187,                 0.0006,                 3.3333,                  3.813,                 4.0331,               0.073886,              0.0028856,              0.0028856
                      3,                 3.5486,                  3.695,                 3.9884,                0.00188,                 0.2193,                0.00189,                0.00061,                 3.2778,                 3.8277,                 3.9123,               0.060356,              0.0043564,              0.0043564
                      4,                  3.548,                 3.6167,                 3.8684,                0.00195,                0.22807,                 0.0027,                0.00078,                 3.2456,                 3.8697,                 3.8188,               0.046812,              0.0058124,              0.0058124
                      5,                  3.455,                 3.5303,                 3.7621,                0.00195,                0.22807,                0.00146,                0.00049,                 3.2382,                 3.9929,                 3.7852,               0.033253,              0.0072535,              0.0072535
                      6,                 3.3064,                 3.4055,                 3.6173,                0.00198,                0.23099,                0.00154,                0.00054,                 3.2313,                 3.7904,                 3.7807,                0.01968,              0.0086797,              0.0086797
                      7,                 3.0869,                 3.2747,                 3.4285,                0.00374,                 0.4152,                0.00431,                0.00134,                 3.1031,                 3.7537,                 3.6471,               0.009703,               0.009703,               0.009703
                      8,                 3.0161,                 3.2194,                 3.3513,                0.02658,                0.05263,                0.00807,                0.00228,                 2.8556,                 4.0177,                 3.4493,               0.009703,               0.009703,               0.009703
                      9,                 2.8971,                 3.0814,                 3.2038,                0.06703,                0.18421,                0.03059,                 0.0084,                 2.7443,                 14.223,                 3.4027,              0.0096535,              0.0096535,              0.0096535
                     10,                 2.8502,                 3.0043,                 3.0684,                0.11018,                0.13158,                 0.0528,                0.01699,                  2.617,                 7.5425,                 3.3738,               0.009604,               0.009604,               0.009604
                     11,                 2.7256,                 2.9047,                 2.9749,                0.07072,                 0.1345,                0.04841,                0.01423,                 2.5709,                   26.3,                 3.1292,              0.0095545,              0.0095545,              0.0095545
                     12,                 2.7127,                 2.8602,                 2.8873,                0.02262,                 0.0117,                0.00224,                0.00064,                 3.0492,                 17.987,                 3.7414,               0.009505,               0.009505,               0.009505
                     13,                 2.5816,                 2.7568,                 2.7967,                0.01405,                0.04094,                0.00335,                  0.001,                 3.2856,                 7.9593,                 3.7143,              0.0094555,              0.0094555,              0.0094555
                     14,                 2.5546,                 2.6661,                 2.7335,                0.10901,                0.16374,                0.05798,                0.01818,                 2.5081,                 13.772,                 2.8662,               0.009406,               0.009406,               0.009406
                     15,                 2.4604,                 2.6124,                  2.665,                  0.108,                0.18713,                0.06977,                  0.026,                  2.409,                 31.049,                 2.9654,              0.0093565,              0.0093565,              0.0093565
                     16,                 2.3871,                 2.5846,                 2.6298,                 0.1157,                0.17251,                 0.0753,                0.02611,                 2.4214,                 3.8366,                 2.9873,               0.009307,               0.009307,               0.009307
                     17,                 2.3494,                 2.4978,                 2.5522,                0.22472,                0.23476,                0.14824,                0.05412,                 2.3959,                 3.7592,                 2.9433,              0.0092575,              0.0092575,              0.0092575
                     18,                 2.2814,                 2.4048,                 2.4842,                0.30706,                0.26316,                0.21564,                0.09232,                 2.0854,                 3.1786,                 2.5654,               0.009208,               0.009208,               0.009208
                     19,                    2.2,                 2.2771,                 2.4046,                0.26115,                0.30994,                0.20308,                0.07648,                 2.2124,                 5.1189,                 2.6232,              0.0091585,              0.0091585,              0.0091585
                     20,                 2.1594,                 2.2484,                 2.3578,                0.37677,                0.32703,                0.28225,                0.11083,                  2.123,                 3.7674,                  2.543,               0.009109,               0.009109,               0.009109
                     21,                 2.1363,                 2.2246,                 2.3743,                0.33741,                0.32749,                0.28783,                0.12609,                 1.9603,                 3.2087,                 2.3695,              0.0090595,              0.0090595,              0.0090595
                     22,                  2.066,                 2.1675,                 2.2949,                0.35349,                0.29825,                0.24988,                0.10304,                 2.0496,                 3.7967,                 2.4498,                0.00901,                0.00901,                0.00901
                     23,                 2.0373,                  2.147,                 2.2638,                0.34251,                0.32164,                0.30059,                0.12356,                 2.0225,                 4.2906,                 2.4407,              0.0089605,              0.0089605,              0.0089605
                     24,                 2.0404,                 2.1381,                 2.2548,                0.38597,                0.32456,                0.29282,                0.12576,                 1.9561,                 2.6754,                 2.2937,               0.008911,               0.008911,               0.008911
                     25,                 1.9885,                 2.0855,                  2.199,                0.51199,                0.40186,                0.42509,                0.20179,                 1.8301,                 2.3072,                 2.2463,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.9643,                 2.0474,                 2.2028,                 0.5185,                 0.2924,                0.32123,                0.14803,                 1.8941,                 2.5723,                 2.2906,               0.008812,               0.008812,               0.008812
                     27,                 1.9844,                 2.0106,                 2.1862,                0.53944,                 0.4152,                0.41659,                0.19788,                 1.8506,                 2.6385,                 2.2784,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.8739,                 1.9344,                 2.0998,                0.43573,                 0.3703,                0.38474,                0.18611,                 1.8548,                 2.1158,                 2.2072,               0.008713,               0.008713,               0.008713
                     29,                 1.8949,                 1.9532,                 2.1203,                0.50429,                0.42982,                 0.4312,                0.21105,                 1.8495,                 2.1031,                 2.2388,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.8862,                 1.8607,                 2.0656,                0.52092,                0.34019,                0.37644,                0.17615,                 1.8495,                 2.1764,                 2.2472,               0.008614,               0.008614,               0.008614
                     31,                 1.8279,                 1.8518,                 2.0446,                0.52991,                0.45322,                0.47722,                0.21899,                 1.8305,                 1.9925,                 2.1886,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.8387,                  1.832,                 2.0675,                0.29707,                 0.2807,                0.20865,                0.08247,                 2.0416,                 2.7555,                  2.448,               0.008515,               0.008515,               0.008515
                     33,                 1.8094,                 1.8069,                 2.0224,                0.44962,                0.44152,                0.42578,                0.19765,                 1.8424,                 1.9792,                 2.2347,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.7923,                 1.7769,                 1.9722,                 0.5502,                0.49715,                0.50203,                0.24959,                  1.782,                 1.8778,                 2.2091,               0.008416,               0.008416,               0.008416
                     35,                 1.8045,                 1.8255,                 2.0218,                 0.5719,                0.48246,                0.52935,                0.27427,                 1.6672,                 2.0345,                 2.1004,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.7635,                 1.7676,                 1.9808,                0.59152,                 0.4883,                0.50659,                0.24766,                 1.7876,                 1.7802,                 2.2104,               0.008317,               0.008317,               0.008317
                     37,                 1.7514,                 1.7325,                 1.9865,                0.44567,                0.36842,                0.37156,                0.18395,                 1.7844,                 2.0876,                 2.2062,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.7092,                 1.6798,                 1.9156,                0.52387,                0.49123,                0.50439,                 0.2381,                 1.8444,                 1.7364,                 2.2339,               0.008218,               0.008218,               0.008218
                     39,                 1.6999,                 1.6375,                 1.9106,                 0.5021,                0.49243,                0.49697,                0.25597,                 1.6624,                 1.7761,                 2.0529,              0.0081685,              0.0081685,              0.0081685
                     40,                  1.678,                 1.6713,                 1.9016,                0.55941,                0.48246,                0.51443,                0.25391,                 1.7037,                 1.8078,                 2.1054,               0.008119,               0.008119,               0.008119
                     41,                 1.7187,                 1.7138,                 1.9702,                0.56717,                0.49123,                0.50608,                0.24986,                 1.6829,                 2.3797,                 2.0926,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.6659,                 1.6721,                 1.9014,                0.51215,                0.53413,                0.55613,                0.28233,                 1.6804,                 1.7108,                 2.0528,                0.00802,                0.00802,                0.00802
                     43,                 1.6456,                 1.5996,                 1.8607,                0.56603,                0.52047,                0.55542,                0.28156,                 1.6716,                 1.7316,                 2.0351,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.6507,                 1.5984,                 1.8702,                0.53551,                0.46199,                0.46852,                0.23162,                 1.7315,                 2.1904,                 2.1446,               0.007921,               0.007921,               0.007921
                     45,                 1.6839,                  1.623,                 1.8912,                0.61745,                0.57018,                0.60866,                0.32283,                 1.6677,                 1.6982,                 2.0686,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.6218,                 1.5711,                 1.8283,                0.58366,                0.43567,                0.49124,                0.26153,                 1.7168,                 2.1374,                 2.0999,               0.007822,               0.007822,               0.007822
                     47,                 1.6333,                 1.5853,                 1.8441,                0.53836,                0.43567,                0.49698,                0.25993,                 1.8384,                 1.9667,                 2.2329,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.6449,                  1.564,                 1.8432,                0.58642,                0.49415,                0.54377,                0.26897,                 1.7469,                 1.7615,                 2.1063,               0.007723,               0.007723,               0.007723
                     49,                 1.6248,                 1.5519,                 1.8175,                0.54562,                0.55848,                0.56788,                0.29192,                 1.7341,                 1.6587,                 2.0923,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.5737,                 1.4647,                 1.8054,                0.57846,                0.55848,                 0.6017,                0.32291,                 1.6399,                 1.7007,                 2.0593,               0.007624,               0.007624,               0.007624
                     51,                 1.5738,                 1.4683,                 1.7872,                0.58343,                0.52828,                0.55359,                 0.2711,                 1.7099,                 1.7512,                 2.1038,              0.0075745,              0.0075745,              0.0075745
                     52,                  1.566,                  1.502,                 1.8014,                0.59851,                0.51435,                0.58683,                0.31338,                 1.5912,                 1.6484,                 1.9708,               0.007525,               0.007525,               0.007525
                     53,                 1.5839,                 1.4375,                  1.801,                0.64758,                 0.5534,                0.60574,                0.32868,                 1.6193,                  1.518,                 2.0156,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.5533,                 1.4405,                 1.7557,                0.73792,                0.53801,                0.63533,                0.34387,                 1.5149,                 1.4851,                 1.9431,               0.007426,               0.007426,               0.007426
