                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7209,                 3.9573,                  4.242,                0.00175,                0.20468,                0.00138,                 0.0005,                 3.4102,                 4.0366,                 4.1329,                 0.0874,                 0.0014,                 0.0014
                      2,                 3.6742,                 3.8275,                  4.138,                 0.0019,                0.22222,                0.00173,                0.00061,                 3.3442,                 4.1462,                 4.0508,               0.073886,              0.0028856,              0.0028856
                      3,                  3.635,                 3.7408,                 4.0285,                0.00198,                0.23099,                0.00179,                0.00063,                 3.2804,                 3.7723,                 3.9452,               0.060356,              0.0043564,              0.0043564
                      4,                  3.613,                 3.6662,                 3.9111,                0.00198,                0.23099,                0.00193,                0.00068,                 3.2465,                 3.7801,                 3.8619,               0.046812,              0.0058124,              0.0058124
                      5,                 3.5232,                 3.5904,                 3.8324,                0.00198,                0.23099,                 0.0016,                0.00058,                 3.2377,                 3.9043,                 3.8141,               0.033253,              0.0072535,              0.0072535
                      6,                 3.3189,                 3.5376,                 3.7471,                0.00198,                0.23099,                0.00178,                0.00061,                 3.2454,                 3.8243,                 3.8008,                0.01968,              0.0086797,              0.0086797
                      7,                 3.2465,                 3.3607,                  3.556,                0.00397,                0.22515,                0.00394,                0.00127,                 3.1903,                 4.0304,                 3.8063,               0.009703,               0.009703,               0.009703
                      8,                 3.0716,                 3.2137,                 3.3962,                0.01599,                0.06725,                0.00627,                0.00207,                 2.9537,                 14.791,                 3.7194,               0.009703,               0.009703,               0.009703
                      9,                   2.98,                 3.1309,                 3.2537,                0.03799,                0.11111,                0.01623,                0.00485,                 2.7939,                 12.172,                  4.253,              0.0096535,              0.0096535,              0.0096535
                     10,                 2.8877,                 3.0097,                 3.1122,                0.00894,                0.11111,                 0.0051,                0.00168,                 2.6861,                    inf,                 3.3819,               0.009604,               0.009604,               0.009604
                     11,                 2.7768,                  2.902,                  2.981,                0.08835,                0.06433,                0.03275,                0.01185,                 2.5762,                 85.268,                 3.2729,              0.0095545,              0.0095545,              0.0095545
                     12,                 2.6652,                 2.8523,                 2.9247,                0.08412,                0.29532,                0.06897,                0.02473,                 2.5055,                 46.514,                  3.298,               0.009505,               0.009505,               0.009505
                     13,                 2.5673,                   2.74,                  2.818,                0.05324,                0.15205,                0.02806,                0.00842,                 2.6412,                 29.572,                 4.1185,              0.0094555,              0.0094555,              0.0094555
                     14,                 2.5144,                 2.6908,                 2.7474,                 0.0238,                 0.0848,                0.01509,                  0.004,                 2.8162,                 24.233,                  3.433,               0.009406,               0.009406,               0.009406
                     15,                  2.469,                 2.6053,                 2.6715,                0.27025,                0.18421,                0.13525,                0.04714,                 2.2875,                 5.2911,                 2.7563,              0.0093565,              0.0093565,              0.0093565
                     16,                 2.3753,                 2.5302,                 2.5872,                0.22584,                0.19006,                 0.1063,                0.03679,                 2.3835,                  7.675,                 2.9917,               0.009307,               0.009307,               0.009307
