                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3847,                 3.8679,                 4.0155,                 0.0873,                0.11099,                0.03323,                0.00849,                 1.4632,                 3.8804,                 3.5287,              0.0033237,              0.0033237,              0.0033237
                      2,                 1.7499,                  2.824,                 2.9539,                0.31718,                0.27836,                0.21815,                0.07443,                 1.1466,                 2.6913,                 2.8682,              0.0066241,              0.0066241,              0.0066241
                      3,                 1.4745,                 2.3073,                 2.4323,                0.43104,                 0.3598,                0.32841,                0.12379,                 1.0702,                 2.6524,                 2.6003,              0.0098915,              0.0098915,              0.0098915
                      4,                 1.3761,                 2.1005,                 2.1968,                0.47997,                0.39068,                0.37835,                0.16057,                 1.0609,                 2.2488,                 2.4063,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3047,                 1.9405,                 2.0692,                0.56032,                0.45041,                0.46553,                0.20534,                 1.0716,                 2.0427,                 2.2882,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.2556,                 1.8341,                 2.0062,                0.61857,                0.46601,                0.50812,                0.22468,                 1.1361,                 1.9368,                 2.2796,               0.009802,               0.009802,               0.009802
                      7,                 1.2331,                 1.7874,                 1.9757,                0.59463,                0.44754,                0.48101,                0.23143,                 1.1755,                  1.909,                 2.2326,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.2071,                 1.7271,                 1.9356,                0.60584,                0.49944,                0.53402,                0.24984,                   1.18,                  1.751,                 2.1782,               0.009703,               0.009703,               0.009703
                      9,                 1.1828,                 1.6756,                 1.9114,                0.67497,                0.52715,                0.58184,                0.27922,                 1.1974,                 1.6281,                 2.1371,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.1733,                 1.6379,                 1.9033,                 0.6673,                0.51772,                0.57402,                0.27387,                 1.2615,                 1.6564,                 2.1469,               0.009604,               0.009604,               0.009604
                     11,                  1.155,                 1.6169,                 1.8793,                0.66365,                0.54088,                0.59669,                0.29182,                 1.2191,                 1.5684,                 2.0889,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.1472,                 1.5906,                 1.8648,                0.66605,                0.53207,                0.58879,                0.28637,                 1.2777,                 1.6211,                 2.1039,               0.009505,               0.009505,               0.009505
                     13,                 1.1266,                 1.5494,                 1.8461,                0.67747,                0.55427,                0.60364,                0.29868,                 1.2398,                 1.5783,                 2.0786,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.1233,                 1.5428,                 1.8435,                0.69635,                0.55657,                 0.6223,                0.30869,                 1.2712,                 1.5106,                 2.0797,               0.009406,               0.009406,               0.009406
                     15,                 1.1177,                 1.5212,                 1.8328,                0.69953,                0.56474,                0.63228,                 0.3103,                 1.2613,                 1.4953,                 2.0501,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.0893,                 1.5041,                 1.8189,                 0.6902,                 0.5741,                0.63426,                  0.324,                 1.2313,                 1.4823,                 2.0293,               0.009307,               0.009307,               0.009307
                     17,                 1.0962,                 1.4814,                  1.812,                0.67229,                0.58881,                0.64289,                0.32712,                 1.2708,                 1.4299,                 2.0437,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.0866,                 1.4467,                 1.8002,                0.69054,                0.57544,                0.62968,                0.31475,                 1.2785,                 1.4875,                 2.0536,               0.009208,               0.009208,               0.009208
                     19,                 1.0851,                 1.4579,                 1.7989,                 0.7177,                0.55382,                0.62825,                0.32688,                 1.2507,                 1.4661,                 2.0256,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.0747,                 1.4369,                 1.7887,                0.72449,                0.59073,                 0.6602,                0.33981,                 1.2316,                 1.4111,                 1.9941,               0.009109,               0.009109,               0.009109
                     21,                 1.0692,                 1.4229,                 1.7777,                0.70844,                0.58346,                0.65421,                0.34253,                 1.2367,                 1.4056,                 1.9891,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.0655,                  1.415,                 1.7777,                0.72588,                 0.6082,                0.67389,                0.34958,                 1.2272,                 1.3524,                 1.9784,                0.00901,                0.00901,                0.00901
                     23,                 1.0549,                 1.3788,                 1.7595,                0.69169,                0.56799,                0.62928,                0.32639,                 1.2705,                 1.4606,                 2.0028,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.0523,                 1.3889,                 1.7518,                0.73449,                0.61154,                0.68732,                0.36292,                 1.1878,                 1.3269,                 1.9588,               0.008911,               0.008911,               0.008911
                     25,                  1.046,                  1.374,                 1.7553,                0.73576,                0.61186,                0.68677,                0.36513,                 1.2086,                 1.3006,                 1.9436,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.0386,                 1.3607,                 1.7364,                 0.7168,                0.60798,                0.67746,                0.36469,                 1.1974,                 1.3236,                 1.9414,               0.008812,               0.008812,               0.008812
                     27,                 1.0312,                 1.3479,                 1.7379,                0.73411,                0.63071,                0.69999,                0.37735,                   1.19,                 1.2655,                 1.9377,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.0347,                 1.3514,                 1.7397,                0.75655,                0.61578,                 0.6986,                0.37698,                 1.2063,                 1.2703,                 1.9354,               0.008713,               0.008713,               0.008713
                     29,                 1.0231,                 1.3319,                 1.7258,                0.74446,                0.62893,                 0.7064,                0.37891,                 1.2001,                 1.2533,                 1.9229,              0.0086635,              0.0086635,              0.0086635
