                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5608,                 3.9175,                 4.0634,                 0.0886,                0.08781,                0.03164,                0.00792,                 3.0572,                 4.5883,                  3.625,              0.0033237,              0.0033237,              0.0033237
                      2,                 2.6625,                  2.879,                 3.0083,                0.31618,                0.28812,                 0.2207,                0.07441,                 2.4254,                 3.2033,                 2.8357,              0.0066241,              0.0066241,              0.0066241
                      3,                 2.1803,                 2.3342,                 2.4437,                0.37382,                0.32494,                 0.2822,                 0.1076,                 2.2563,                 2.9948,                 2.6149,              0.0098915,              0.0098915,              0.0098915
                      4,                 2.0015,                 2.1157,                 2.2026,                0.49009,                0.42434,                0.40612,                0.16765,                 2.1126,                 2.3523,                 2.3988,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8949,                 1.9586,                 2.0785,                0.57742,                0.43151,                0.46152,                0.20374,                 2.0105,                 1.9757,                 2.2933,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.8382,                 1.8664,                 2.0126,                0.52814,                0.40784,                0.41151,                 0.1758,                 2.0667,                 2.4182,                 2.3556,               0.009802,               0.009802,               0.009802
                      7,                 1.7945,                  1.795,                 1.9692,                0.57244,                0.47205,                 0.4826,                0.21696,                 1.9941,                 2.0082,                  2.255,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.7734,                 1.7527,                 1.9448,                0.58194,                 0.4854,                0.50643,                0.23596,                 1.9474,                 1.8494,                 2.1907,               0.009703,               0.009703,               0.009703
                      9,                 1.7406,                 1.6973,                 1.9108,                0.63607,                0.51612,                0.56335,                0.27116,                 1.8729,                 1.7074,                 2.1249,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.7197,                 1.6509,                 1.8861,                0.64128,                0.51954,                0.56886,                0.27088,                 1.9219,                 1.6245,                 2.1645,               0.009604,               0.009604,               0.009604
                     11,                 1.7101,                  1.623,                 1.8791,                0.68281,                0.53599,                0.59013,                0.28909,                 1.8546,                 1.5793,                  2.085,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.6866,                 1.5956,                 1.8465,                0.68959,                0.51215,                0.58034,                0.28231,                 1.8576,                  1.684,                 2.1048,               0.009505,               0.009505,               0.009505
                     13,                 1.6595,                  1.556,                  1.833,                0.66621,                0.53601,                0.59311,                0.29494,                 1.8393,                 1.6061,                 2.0703,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.6658,                 1.5407,                 1.8277,                0.64718,                  0.538,                0.58317,                0.28221,                 1.8558,                 1.6259,                 2.0882,               0.009406,               0.009406,               0.009406
                     15,                 1.6442,                 1.5182,                 1.8149,                0.66134,                0.52953,                0.58349,                 0.2884,                 1.8333,                 1.6118,                 2.0533,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6283,                 1.5091,                 1.8031,                0.69855,                0.55226,                0.62055,                0.31325,                 1.8029,                 1.5256,                 2.0315,               0.009307,               0.009307,               0.009307
