                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4664,                 3.8723,                 3.9808,                0.04715,                0.03544,                0.01547,                0.00373,                  3.029,                 4.2183,                 3.5615,              0.0033237,              0.0033237,              0.0033237
                      2,                 2.7917,                 3.1309,                 3.1237,                 0.1905,                 0.1692,                0.09081,                0.02865,                 2.6019,                 3.2084,                 2.9608,              0.0066241,              0.0066241,              0.0066241
                      3,                 2.4596,                 2.7396,                 2.6529,                 0.1742,                0.20727,                0.10319,                0.03337,                 2.5091,                 3.5512,                 2.9145,              0.0098915,              0.0098915,              0.0098915
                      4,                  2.261,                 2.4757,                  2.382,                0.38956,                0.32516,                0.28817,                0.10723,                 2.2623,                 2.4827,                 2.4357,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1048,                 2.2557,                 2.1824,                0.42212,                0.35213,                0.31738,                0.12409,                 2.1989,                 2.5585,                  2.301,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.0127,                 2.1099,                 2.0601,                0.49194,                0.39706,                0.38353,                0.15919,                 2.1267,                 2.3851,                   2.23,               0.009802,               0.009802,               0.009802
                      7,                 1.9566,                  2.035,                 2.0026,                0.54113,                0.40053,                0.41719,                0.17989,                 2.0454,                 2.1168,                   2.12,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.9095,                 1.9509,                 1.9399,                0.56044,                 0.4435,                0.46351,                0.19786,                 2.0463,                 1.9759,                 2.1209,               0.009703,               0.009703,               0.009703
                      9,                 1.8768,                 1.8925,                 1.9054,                0.46171,                0.35837,                0.35325,                0.15216,                 2.2044,                  2.336,                 2.2821,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.8454,                 1.8427,                 1.8814,                0.61681,                0.44734,                0.49515,                0.22863,                 1.9972,                 1.9195,                 2.0794,               0.009604,               0.009604,               0.009604
                     11,                 1.8258,                 1.7968,                 1.8559,                0.59614,                0.48897,                0.52222,                 0.2443,                 1.9257,                 1.8641,                 1.9927,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.8004,                 1.7602,                 1.8278,                0.58023,                0.49699,                0.52091,                0.24205,                 1.9434,                 1.8847,                  2.012,               0.009505,               0.009505,               0.009505
                     13,                 1.7784,                 1.7281,                 1.8085,                0.63078,                0.51364,                0.54379,                0.25419,                 1.9175,                 1.7936,                 1.9731,              0.0094555,              0.0094555,              0.0094555
                     14,                  1.779,                 1.7205,                  1.809,                0.64549,                0.53064,                0.57236,                0.26619,                 1.9069,                 1.7392,                 1.9511,               0.009406,               0.009406,               0.009406
                     15,                 1.7645,                 1.7003,                  1.788,                  0.631,                0.51861,                0.56354,                0.27051,                 1.8874,                 1.6925,                 1.9339,              0.0093565,              0.0093565,              0.0093565
                     16,                  1.747,                 1.6736,                 1.7744,                0.64266,                0.50145,                0.55445,                0.26428,                 1.8959,                 1.7129,                 1.9591,               0.009307,               0.009307,               0.009307
