                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3812,                 3.7626,                 3.8838,                0.10532,                 0.1433,                0.04426,                0.01234,                 2.8342,                 4.0784,                 3.3636,              0.0033237,              0.0033237,              0.0033237
                      2,                 2.6511,                 2.8649,                 2.9584,                0.23342,                0.21417,                0.13724,                0.04451,                  2.532,                 2.9967,                 2.9217,              0.0066241,              0.0066241,              0.0066241
                      3,                 2.2796,                 2.4488,                 2.4634,                0.29334,                 0.2797,                0.20633,                0.07738,                  2.367,                 3.9254,                 2.6661,              0.0098915,              0.0098915,              0.0098915
                      4,                 2.0957,                 2.2294,                 2.1805,                0.34673,                0.29307,                 0.2448,                0.09232,                 2.2784,                 3.0756,                 2.4889,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.9846,                 2.0615,                 2.0349,                0.36599,                 0.3236,                0.26792,                0.10717,                 2.1617,                 2.7405,                 2.2564,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.9032,                 1.9455,                 1.9402,                0.49013,                0.36728,                0.37074,                0.15981,                 2.1054,                 2.6634,                 2.1719,               0.009802,               0.009802,               0.009802
                      7,                  1.863,                 1.8812,                 1.8863,                0.50925,                0.42924,                0.42936,                0.19523,                 2.0079,                 2.1441,                 2.0625,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.8333,                 1.8263,                 1.8473,                0.53074,                 0.4025,                0.41598,                0.18817,                   2.04,                 2.1211,                 2.0406,               0.009703,               0.009703,               0.009703
                      9,                 1.7988,                 1.7678,                  1.809,                 0.6006,                0.47493,                0.49945,                0.22581,                 1.9649,                 1.9709,                 1.9744,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.7751,                 1.7119,                  1.778,                 0.5911,                0.47894,                 0.5063,                0.23666,                 1.9578,                 1.9546,                 1.9712,               0.009604,               0.009604,               0.009604
                     11,                 1.7582,                 1.6836,                 1.7558,                0.61604,                0.49881,                0.53734,                0.25971,                 1.9018,                 1.7754,                 1.8973,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7388,                 1.6598,                 1.7333,                0.61538,                0.48094,                0.51012,                0.23643,                 1.9477,                 1.8452,                 1.9575,               0.009505,               0.009505,               0.009505
                     13,                 1.7095,                 1.6083,                 1.7101,                0.65379,                0.52953,                 0.5769,                0.27599,                 1.9057,                 1.6692,                 1.9017,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.7108,                 1.5989,                 1.7049,                 0.6375,                0.50635,                0.55209,                0.26676,                 1.8808,                 1.6963,                 1.8615,               0.009406,               0.009406,               0.009406
                     15,                 1.6928,                 1.5719,                 1.6891,                0.66246,                0.54758,                0.60716,                0.29953,                 1.8486,                 1.5768,                   1.83,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6782,                 1.5632,                  1.675,                0.67604,                0.52485,                0.58816,                0.29738,                 1.8281,                 1.5968,                 1.8135,               0.009307,               0.009307,               0.009307
                     17,                 1.6715,                 1.5435,                 1.6646,                0.67476,                0.54838,                0.60753,                0.30652,                 1.8332,                 1.5295,                  1.815,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6687,                 1.5205,                 1.6589,                0.68136,                0.56274,                0.61485,                0.31251,                 1.7919,                 1.5395,                 1.7864,               0.009208,               0.009208,               0.009208
                     19,                  1.661,                 1.5093,                 1.6545,                0.66524,                0.56742,                0.61471,                0.30322,                  1.832,                 1.5529,                 1.8127,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.6517,                 1.4935,                 1.6458,                0.65906,                0.57988,                0.62806,                0.32034,                 1.7844,                  1.508,                  1.779,               0.009109,               0.009109,               0.009109
                     21,                 1.6412,                 1.4755,                 1.6368,                0.66648,                0.56697,                0.61427,                0.31001,                 1.8038,                 1.6029,                  1.787,              0.0090595,              0.0090595,              0.0090595
                     22,                  1.635,                 1.4674,                 1.6268,                0.71354,                 0.5848,                0.65543,                0.33569,                 1.7578,                 1.4477,                 1.7588,                0.00901,                0.00901,                0.00901
                     23,                 1.6197,                 1.4492,                  1.614,                0.66832,                0.57211,                 0.6184,                 0.3126,                 1.7923,                 1.5088,                 1.7727,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.6202,                 1.4421,                 1.6081,                0.69859,                0.55627,                0.62117,                0.32149,                 1.7796,                 1.4891,                 1.7495,               0.008911,               0.008911,               0.008911
                     25,                 1.6067,                 1.4231,                 1.6038,                0.74399,                0.58257,                0.66482,                0.34259,                 1.7595,                 1.3884,                 1.7369,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.6115,                 1.4247,                 1.5959,                0.69341,                0.58874,                0.64822,                0.33642,                 1.7588,                 1.4238,                 1.7383,               0.008812,               0.008812,               0.008812
                     27,                 1.5935,                 1.4025,                 1.5906,                0.70579,                0.58034,                0.64671,                0.33493,                  1.775,                 1.4025,                 1.7505,              0.0087625,              0.0087625,              0.0087625
                     28,                  1.595,                 1.4126,                 1.5923,                0.72031,                0.61587,                 0.6789,                0.35509,                 1.7323,                 1.3553,                 1.7058,               0.008713,               0.008713,               0.008713
                     29,                 1.5885,                  1.384,                 1.5867,                0.71615,                0.61578,                0.68241,                0.35948,                 1.7364,                 1.3348,                 1.7088,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5858,                 1.3739,                 1.5798,                0.74075,                 0.6111,                0.68339,                0.36405,                 1.7167,                 1.3384,                 1.6988,               0.008614,               0.008614,               0.008614
                     31,                 1.5682,                 1.3636,                 1.5694,                0.72247,                0.62648,                0.68481,                0.36528,                 1.7145,                 1.3334,                  1.706,              0.0085645,              0.0085645,              0.0085645
                     32,                  1.568,                 1.3519,                 1.5667,                0.73159,                0.62581,                0.69075,                 0.3681,                 1.7089,                 1.3378,                 1.6912,               0.008515,               0.008515,               0.008515
                     33,                 1.5594,                 1.3572,                 1.5604,                0.71898,                0.63472,                 0.7002,                0.37851,                 1.6868,                 1.2838,                  1.672,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.5609,                 1.3472,                 1.5595,                0.72107,                0.63963,                0.69918,                0.37775,                 1.6864,                 1.3022,                 1.6741,               0.008416,               0.008416,               0.008416
                     35,                  1.551,                 1.3385,                 1.5556,                 0.7455,                0.62608,                0.70415,                0.38002,                 1.6827,                  1.263,                 1.6686,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.5551,                 1.3349,                 1.5545,                0.73955,                0.62514,                0.70671,                0.38795,                 1.6653,                 1.2575,                  1.655,               0.008317,               0.008317,               0.008317
                     37,                 1.5434,                 1.3138,                 1.5417,                0.73059,                0.64564,                0.71421,                0.38843,                  1.672,                   1.25,                 1.6615,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.5438,                 1.3095,                 1.5458,                0.73492,                0.64382,                0.71008,                0.39001,                 1.6487,                 1.2374,                 1.6518,               0.008218,               0.008218,               0.008218
                     39,                 1.5377,                 1.3081,                 1.5365,                0.73948,                0.65222,                0.72324,                0.39493,                 1.6465,                 1.2227,                 1.6437,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.5283,                 1.2919,                 1.5271,                0.74191,                0.64835,                0.71826,                 0.3921,                 1.6568,                 1.2277,                  1.653,               0.008119,               0.008119,               0.008119
                     41,                 1.5217,                 1.2875,                 1.5229,                0.74781,                0.65425,                0.72234,                  0.399,                 1.6362,                 1.2188,                 1.6263,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.5141,                 1.2748,                 1.5219,                 0.7455,                0.65389,                0.72501,                 0.4038,                 1.6258,                 1.1999,                 1.6249,                0.00802,                0.00802,                0.00802
                     43,                 1.5191,                 1.2825,                 1.5203,                0.74272,                0.66035,                0.72467,                0.40398,                 1.6219,                 1.1995,                 1.6183,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.5155,                 1.2619,                 1.5169,                0.75239,                0.66592,                0.73243,                0.40766,                  1.625,                 1.1818,                 1.6184,               0.007921,               0.007921,               0.007921
                     45,                 1.5072,                 1.2501,                 1.5103,                0.74373,                0.66942,                0.73304,                0.41051,                 1.6158,                 1.1717,                 1.6208,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4953,                 1.2413,                 1.5006,                0.76511,                0.66637,                0.73823,                0.41545,                 1.6034,                 1.1637,                 1.6047,               0.007822,               0.007822,               0.007822
                     47,                 1.5076,                 1.2546,                  1.507,                0.76282,                0.67506,                0.73967,                0.41591,                 1.6037,                 1.1433,                 1.6016,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4983,                 1.2484,                  1.503,                0.75946,                0.67105,                0.74234,                0.41894,                 1.5973,                 1.1466,                 1.5967,               0.007723,               0.007723,               0.007723
                     49,                 1.4966,                 1.2397,                 1.4971,                0.76962,                0.67952,                0.74689,                0.41987,                  1.598,                 1.1361,                 1.5983,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.4901,                 1.2254,                 1.4943,                0.76784,                0.68257,                0.74987,                0.42362,                 1.5899,                 1.1266,                 1.5904,               0.007624,               0.007624,               0.007624
                     51,                 1.4843,                 1.2259,                 1.4908,                0.77424,                0.68308,                0.75154,                0.42531,                 1.5773,                 1.1272,                 1.5802,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.4882,                 1.2104,                 1.4936,                0.78278,                0.67143,                0.75152,                0.42624,                 1.5779,                  1.118,                 1.5829,               0.007525,               0.007525,               0.007525
                     53,                 1.4806,                 1.2228,                 1.4846,                 0.7689,                0.68375,                0.75392,                0.43062,                 1.5719,                 1.1229,                 1.5715,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4712,                 1.2114,                 1.4767,                0.77333,                0.68507,                0.75622,                 0.4327,                 1.5706,                 1.1056,                 1.5713,               0.007426,               0.007426,               0.007426
                     55,                 1.4641,                  1.194,                  1.475,                0.77788,                0.69541,                0.76106,                0.43473,                 1.5669,                 1.1014,                 1.5723,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4734,                 1.2073,                 1.4796,                0.76743,                  0.692,                0.76089,                0.43467,                 1.5651,                 1.0948,                 1.5666,               0.007327,               0.007327,               0.007327
                     57,                  1.468,                 1.1968,                 1.4773,                0.77172,                0.69541,                0.76203,                0.43626,                 1.5648,                  1.093,                 1.5663,              0.0072775,              0.0072775,              0.0072775
