                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4706,                 3.7317,                  3.874,                0.04727,                0.11232,                0.02469,                 0.0081,                 1.5814,                 4.1242,                 3.3385,              0.0033237,              0.0033237,              0.0033237
                      2,                 2.0314,                  2.898,                 2.8769,                0.25329,                0.20704,                0.13752,                 0.0472,                 1.4441,                 3.2052,                  2.854,              0.0066241,              0.0066241,              0.0066241
                      3,                 1.8551,                 2.5303,                 2.4643,                0.36406,                0.31743,                0.25838,                0.09682,                 1.3542,                 3.2209,                 2.5037,              0.0098915,              0.0098915,              0.0098915
                      4,                 1.7333,                 2.2946,                 2.2058,                 0.4275,                0.32806,                0.31375,                0.13011,                 1.3792,                  2.457,                 2.3418,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6556,                 2.0872,                 2.0498,                 0.5364,                0.38935,                0.40523,                0.16496,                 1.4335,                 2.2565,                  2.236,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.5993,                 1.9629,                 1.9734,                0.56171,                 0.4464,                0.44956,                 0.1997,                 1.4351,                 2.0396,                 2.1377,               0.009802,               0.009802,               0.009802
                      7,                 1.5432,                 1.8584,                 1.9077,                0.56997,                0.47493,                0.47669,                0.21634,                 1.4667,                 1.9463,                 2.0699,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.5213,                 1.7919,                 1.8697,                0.63017,                 0.4776,                0.51708,                0.23382,                 1.5096,                  1.902,                 2.0431,               0.009703,               0.009703,               0.009703
                      9,                 1.4951,                 1.7268,                 1.8381,                0.60831,                0.50706,                0.52233,                0.23425,                 1.5396,                 1.8563,                 2.0377,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.4784,                  1.679,                  1.817,                0.64575,                0.49929,                0.55627,                 0.2596,                 1.5956,                  1.742,                 2.0236,               0.009604,               0.009604,               0.009604
                     11,                 1.4534,                 1.6383,                 1.7878,                0.69059,                0.53265,                0.59627,                0.27779,                 1.5587,                 1.6785,                 1.9615,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.4405,                 1.6148,                 1.7699,                0.65961,                0.52931,                0.57945,                0.27809,                 1.5372,                 1.6885,                 1.9362,               0.009505,               0.009505,               0.009505
                     13,                 1.4199,                 1.5688,                 1.7551,                0.63279,                0.53867,                0.58269,                0.28298,                 1.5967,                 1.6554,                 1.9526,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4177,                 1.5548,                 1.7444,                0.68022,                0.56178,                0.61272,                0.30495,                 1.5542,                 1.5721,                 1.9177,               0.009406,               0.009406,               0.009406
                     15,                 1.4063,                 1.5328,                 1.7338,                0.65334,                0.55863,                0.59921,                0.29023,                 1.5875,                  1.616,                 1.9308,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.3828,                 1.5042,                 1.7107,                  0.678,                0.55984,                0.61571,                0.30348,                 1.5668,                 1.6058,                 1.8968,               0.009307,               0.009307,               0.009307
                     17,                 1.3825,                  1.487,                 1.7072,                0.69776,                0.54112,                0.61424,                0.29883,                 1.6119,                 1.5564,                 1.9053,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.3658,                 1.4602,                 1.6946,                0.69833,                0.58402,                0.64178,                 0.3234,                 1.5579,                  1.533,                 1.8757,               0.009208,               0.009208,               0.009208
                     19,                  1.371,                 1.4507,                 1.6889,                0.69263,                0.61444,                0.66614,                0.33921,                 1.5393,                 1.4623,                 1.8403,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.3611,                 1.4285,                 1.6853,                0.70956,                0.57767,                0.66107,                 0.3437,                 1.5192,                  1.426,                 1.8324,               0.009109,               0.009109,               0.009109
                     21,                  1.352,                 1.4137,                 1.6677,                0.70862,                0.58502,                0.65559,                0.33746,                 1.5443,                 1.4778,                 1.8372,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.3453,                 1.4055,                 1.6576,                0.71998,                0.60998,                0.67926,                0.35405,                 1.5203,                  1.395,                  1.826,                0.00901,                0.00901,                0.00901
                     23,                 1.3293,                 1.3837,                 1.6483,                0.72773,                0.60939,                0.67749,                0.34949,                 1.5404,                 1.3777,                 1.8294,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.3201,                 1.3755,                 1.6423,                0.72965,                0.60992,                0.68642,                0.36201,                 1.5034,                  1.367,                 1.8015,               0.008911,               0.008911,               0.008911
                     25,                 1.3105,                 1.3509,                 1.6328,                0.75074,                0.61154,                0.69401,                0.36474,                 1.5088,                 1.3698,                 1.7923,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.3182,                 1.3531,                 1.6327,                 0.7126,                0.60998,                 0.6749,                0.36221,                 1.4886,                 1.3849,                 1.7925,               0.008812,               0.008812,               0.008812
                     27,                 1.2987,                 1.3248,                 1.6218,                0.72823,                0.64029,                 0.6986,                0.37455,                 1.4966,                   1.32,                 1.7851,              0.0087625,              0.0087625,              0.0087625
                     28,                  1.292,                 1.3246,                 1.6142,                   0.74,                0.62543,                0.70705,                0.38177,                 1.4695,                 1.3075,                 1.7586,               0.008713,               0.008713,               0.008713
                     29,                 1.2952,                 1.3096,                 1.6135,                0.74981,                0.65367,                0.71759,                0.38243,                 1.4929,                 1.3026,                 1.7687,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.2852,                 1.2979,                 1.6095,                0.74149,                0.64757,                0.71464,                 0.3873,                 1.4677,                 1.2986,                 1.7572,               0.008614,               0.008614,               0.008614
                     31,                  1.274,                 1.2918,                 1.5975,                0.75088,                0.65764,                0.72574,                0.39985,                 1.4288,                 1.2743,                 1.7394,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.2736,                 1.2695,                 1.5886,                0.76507,                0.66047,                0.73361,                0.40569,                 1.4308,                 1.2743,                 1.7242,               0.008515,               0.008515,               0.008515
                     33,                 1.2611,                 1.2631,                 1.5828,                0.77302,                0.66794,                0.74195,                 0.4096,                 1.4404,                 1.2044,                   1.73,              0.0084655,              0.0084655,              0.0084655
                     34,                  1.258,                 1.2572,                 1.5769,                0.75326,                0.67194,                0.73799,                0.41201,                 1.4248,                 1.2333,                   1.72,               0.008416,               0.008416,               0.008416
                     35,                 1.2464,                  1.235,                 1.5668,                0.77923,                 0.6784,                0.75102,                0.41893,                 1.4279,                 1.2081,                 1.7153,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.2555,                 1.2407,                 1.5691,                0.79174,                0.66637,                0.75719,                 0.4289,                  1.389,                 1.1777,                  1.689,               0.008317,               0.008317,               0.008317
                     37,                 1.2404,                 1.2251,                 1.5624,                0.78228,                0.67774,                0.75918,                0.42538,                 1.4171,                  1.187,                 1.7102,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.2385,                 1.2143,                 1.5607,                0.79634,                0.68799,                0.76408,                0.43101,                 1.3934,                 1.1697,                 1.6903,               0.008218,               0.008218,               0.008218
                     39,                 1.2294,                   1.21,                 1.5454,                0.76825,                0.69556,                0.76148,                0.43341,                 1.3894,                 1.1579,                 1.6802,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.2236,                 1.1876,                 1.5373,                0.78937,                0.68823,                0.76991,                0.44055,                 1.3802,                 1.1397,                 1.6727,               0.008119,               0.008119,               0.008119
                     41,                 1.2151,                 1.1791,                 1.5298,                0.78012,                0.70158,                0.76911,                0.44442,                 1.3775,                 1.1547,                  1.668,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.2043,                 1.1639,                 1.5282,                0.79204,                0.70365,                0.77097,                 0.4504,                 1.3631,                 1.1281,                 1.6542,                0.00802,                0.00802,                0.00802
                     43,                 1.2165,                 1.1715,                 1.5297,                0.80723,                0.69623,                0.77935,                0.45338,                 1.3604,                 1.1214,                 1.6498,              0.0079705,              0.0079705,              0.0079705
                     44,                  1.205,                 1.1574,                 1.5196,                0.80532,                0.70559,                0.78598,                0.46292,                 1.3403,                 1.0969,                 1.6352,               0.007921,               0.007921,               0.007921
                     45,                  1.197,                 1.1455,                 1.5141,                0.80321,                0.70315,                0.78748,                0.46401,                 1.3461,                 1.0952,                 1.6354,              0.0078715,              0.0078715,              0.0078715
                     46,                  1.189,                 1.1273,                 1.5042,                  0.797,                0.71749,                0.79255,                0.46921,                 1.3333,                 1.0802,                 1.6242,               0.007822,               0.007822,               0.007822
                     47,                 1.1841,                 1.1245,                 1.4996,                0.79331,                  0.731,                0.79673,                0.47494,                 1.3217,                 1.0691,                 1.6151,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.1857,                 1.1249,                  1.497,                0.80587,                0.71423,                0.79465,                0.47581,                 1.3188,                 1.0652,                 1.6036,               0.007723,               0.007723,               0.007723
                     49,                  1.182,                 1.1255,                 1.4956,                0.80991,                0.72142,                 0.8044,                0.48234,                 1.3106,                 1.0492,                 1.6001,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.1732,                 1.1087,                   1.49,                0.81196,                0.72342,                0.80068,                0.48356,                 1.2998,                 1.0498,                 1.5919,               0.007624,               0.007624,               0.007624
                     51,                 1.1736,                 1.1095,                 1.4879,                0.81584,                0.72172,                0.80194,                0.48542,                 1.2917,                 1.0431,                 1.5815,              0.0075745,              0.0075745,              0.0075745
                     52,                  1.168,                 1.0865,                 1.4784,                  0.821,                0.72409,                0.80647,                0.49127,                 1.2886,                 1.0268,                 1.5758,               0.007525,               0.007525,               0.007525
                     53,                 1.1679,                 1.0948,                 1.4737,                0.82001,                0.73309,                0.81045,                0.49612,                 1.2929,                 1.0175,                 1.5741,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.1502,                 1.0839,                 1.4635,                0.83681,                0.71999,                0.81029,                0.49705,                 1.2901,                 1.0102,                 1.5704,               0.007426,               0.007426,               0.007426
                     55,                 1.1426,                 1.0624,                 1.4595,                0.82111,                0.73346,                0.81411,                0.49924,                 1.2864,                 1.0053,                 1.5718,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.1428,                 1.0684,                 1.4602,                0.83921,                0.73457,                0.81727,                0.50417,                 1.2748,                 1.0033,                 1.5632,               0.007327,               0.007327,               0.007327
                     57,                 1.1417,                 1.0619,                 1.4549,                0.84019,                0.73323,                0.81851,                0.50602,                 1.2725,                0.99843,                 1.5591,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.1323,                 1.0582,                 1.4445,                0.83573,                0.74718,                0.82229,                0.51005,                 1.2693,                0.98865,                 1.5578,               0.007228,               0.007228,               0.007228
                     59,                 1.1286,                 1.0474,                 1.4458,                0.83847,                0.74192,                0.82499,                0.51288,                 1.2607,                0.98217,                 1.5489,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.1273,                 1.0394,                 1.4421,                0.83385,                0.74605,                0.82777,                0.51497,                 1.2549,                0.97151,                 1.5428,               0.007129,               0.007129,               0.007129
                     61,                 1.1319,                 1.0515,                 1.4442,                0.82826,                0.75886,                 0.8243,                0.51433,                 1.2513,                 0.9701,                 1.5396,              0.0070795,              0.0070795,              0.0070795
                     62,                  1.119,                 1.0296,                 1.4296,                0.84234,                0.74861,                0.82787,                0.52004,                  1.245,                0.96648,                 1.5308,                0.00703,                0.00703,                0.00703
                     63,                 1.1039,                 1.0242,                 1.4296,                0.83948,                0.74363,                0.82779,                0.52264,                 1.2375,                0.96324,                 1.5264,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.1052,                 1.0111,                 1.4195,                0.84996,                0.74593,                0.83071,                0.52641,                 1.2345,                0.95985,                 1.5213,               0.006931,               0.006931,               0.006931
                     65,                 1.1113,                 1.0209,                 1.4255,                0.85188,                0.75111,                0.83164,                 0.5298,                 1.2302,                0.95253,                 1.5177,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.1101,                  1.007,                  1.423,                0.85754,                0.74081,                0.83173,                0.53302,                 1.2256,                0.94667,                 1.5144,               0.006832,               0.006832,               0.006832
                     67,                 1.0936,                0.99664,                  1.406,                0.85656,                0.74571,                0.83248,                0.53436,                 1.2175,                0.93855,                 1.5099,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.0926,                0.99764,                 1.4101,                0.85786,                0.75053,                0.83346,                0.53685,                 1.2104,                 0.9364,                 1.5034,               0.006733,               0.006733,               0.006733
                     69,                 1.0924,                0.99486,                 1.4047,                0.85247,                0.75077,                0.83341,                0.53839,                 1.2081,                 0.9338,                 1.4996,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.0786,                0.97942,                 1.3928,                0.84898,                 0.7622,                0.83488,                0.54126,                  1.202,                0.93073,                 1.4952,               0.006634,               0.006634,               0.006634
                     71,                 1.0813,                0.97927,                 1.3917,                0.84293,                 0.7651,                0.83664,                0.54367,                 1.1971,                0.92851,                  1.489,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.0798,                0.97204,                 1.3886,                0.85022,                0.76538,                0.84014,                0.54606,                 1.1922,                0.92319,                 1.4806,               0.006535,               0.006535,               0.006535
                     73,                 1.0718,                0.96349,                 1.3814,                0.85505,                0.76253,                0.84106,                0.54855,                 1.1897,                0.91735,                 1.4779,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.0729,                0.96899,                 1.3906,                0.85978,                0.76287,                0.84219,                0.55063,                 1.1862,                0.91545,                 1.4774,               0.006436,               0.006436,               0.006436
                     75,                 1.0654,                0.95721,                 1.3817,                0.86188,                0.76625,                0.84201,                0.55399,                 1.1788,                0.91176,                 1.4723,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.0534,                0.94163,                 1.3712,                0.86584,                0.76354,                0.84415,                 0.5574,                 1.1758,                0.90824,                 1.4674,               0.006337,               0.006337,               0.006337
                     77,                 1.0642,                0.94809,                 1.3782,                0.86312,                0.76733,                0.84465,                0.55868,                  1.174,                0.90467,                 1.4638,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.0546,                0.94525,                 1.3708,                0.86508,                0.77024,                0.84572,                0.56026,                 1.1717,                0.90151,                 1.4604,               0.006238,               0.006238,               0.006238
                     79,                 1.0543,                0.93927,                 1.3674,                0.86878,                0.76666,                0.84644,                0.56216,                 1.1691,                0.89461,                 1.4572,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.0481,                0.93164,                 1.3624,                0.86411,                0.77381,                 0.8471,                0.56348,                 1.1674,                0.89294,                 1.4547,               0.006139,               0.006139,               0.006139
                     81,                 1.0416,                0.92623,                 1.3597,                0.86461,                0.77602,                0.84815,                 0.5652,                 1.1643,                 0.8883,                 1.4512,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.0382,                 0.9173,                 1.3473,                0.86773,                0.77513,                0.84909,                 0.5663,                  1.161,                0.88593,                 1.4477,                0.00604,                0.00604,                0.00604
                     83,                 1.0375,                0.92084,                 1.3511,                0.87238,                0.76867,                0.84947,                0.56824,                 1.1565,                0.88322,                 1.4434,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.0269,                 0.9042,                 1.3404,                0.87466,                0.76831,                0.85003,                0.57035,                 1.1532,                0.87934,                 1.4411,               0.005941,               0.005941,               0.005941
                     85,                 1.0338,                0.90615,                 1.3458,                0.87612,                0.76978,                0.85063,                0.57166,                 1.1502,                0.87667,                 1.4377,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.0195,                0.89465,                 1.3316,                0.87873,                0.76871,                0.85105,                0.57303,                 1.1495,                0.87273,                 1.4363,               0.005842,               0.005842,               0.005842
                     87,                 1.0163,                0.89172,                 1.3299,                0.87796,                0.77119,                0.85164,                0.57531,                 1.1463,                0.87087,                 1.4336,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.0199,                 0.8986,                  1.332,                0.87867,                0.76825,                0.85115,                0.57597,                 1.1465,                0.86956,                 1.4336,               0.005743,               0.005743,               0.005743
                     89,                 1.0146,                0.89805,                 1.3352,                0.87685,                0.77119,                0.85141,                 0.5767,                 1.1452,                0.86939,                 1.4318,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.0094,                0.88927,                 1.3252,                0.87738,                0.77185,                0.85245,                0.57802,                 1.1434,                0.86858,                 1.4304,               0.005644,               0.005644,               0.005644
                     91,                 1.0111,                0.88662,                 1.3272,                0.87407,                 0.7758,                 0.8529,                0.57862,                 1.1418,                0.86703,                 1.4298,              0.0055945,              0.0055945,              0.0055945
                     92,                   1.01,                 0.8758,                 1.3249,                0.87224,                0.77691,                0.85269,                0.57936,                 1.1415,                0.86736,                 1.4297,               0.005545,               0.005545,               0.005545
                     93,                0.99528,                0.86881,                  1.314,                0.87417,                0.77647,                0.85177,                0.58048,                 1.1406,                0.86596,                  1.429,              0.0054955,              0.0054955,              0.0054955
                     94,                0.99206,                0.86038,                 1.3098,                0.87256,                0.77758,                0.85281,                0.58126,                 1.1397,                0.86446,                 1.4284,               0.005446,               0.005446,               0.005446
                     95,                0.99626,                0.86095,                 1.3097,                0.87235,                0.77758,                0.85291,                0.58278,                  1.138,                0.86298,                 1.4274,              0.0053965,              0.0053965,              0.0053965
                     96,                0.98874,                0.85985,                  1.306,                0.87041,                0.77825,                 0.8528,                 0.5836,                 1.1374,                0.86024,                 1.4274,               0.005347,               0.005347,               0.005347
                     97,                0.99019,                0.87118,                  1.315,                0.87265,                0.77883,                0.85261,                 0.5841,                 1.1363,                0.85884,                 1.4266,              0.0052975,              0.0052975,              0.0052975
                     98,                0.98391,                0.84759,                 1.2989,                0.87325,                0.77936,                0.85313,                0.58501,                 1.1353,                0.85673,                 1.4264,               0.005248,               0.005248,               0.005248
                     99,                0.98868,                0.85821,                 1.3079,                0.87778,                0.77632,                0.85352,                 0.5859,                 1.1334,                0.85484,                 1.4251,              0.0051985,              0.0051985,              0.0051985
                    100,                0.97829,                0.84787,                 1.2974,                0.87709,                0.77766,                0.85381,                0.58699,                 1.1322,                0.85325,                 1.4241,               0.005149,               0.005149,               0.005149
                    101,                0.97428,                0.84465,                 1.2964,                0.87754,                0.77825,                 0.8541,                 0.5878,                 1.1302,                0.85097,                 1.4222,              0.0050995,              0.0050995,              0.0050995
                    102,                0.96618,                0.83619,                 1.2865,                0.87951,                0.77803,                0.85446,                0.58838,                 1.1287,                0.84981,                 1.4206,                0.00505,                0.00505,                0.00505
                    103,                0.96701,                0.83493,                 1.2867,                0.87774,                0.77981,                 0.8545,                0.58895,                 1.1273,                0.84832,                 1.4195,              0.0050005,              0.0050005,              0.0050005
                    104,                0.97336,                0.83456,                 1.2913,                0.87821,                0.78003,                0.85426,                 0.5896,                 1.1255,                0.84724,                 1.4183,               0.004951,               0.004951,               0.004951
                    105,                 0.9619,                0.82701,                 1.2842,                0.87811,                 0.7807,                0.85483,                0.59039,                 1.1236,                0.84553,                 1.4169,              0.0049015,              0.0049015,              0.0049015
                    106,                0.95613,                0.82636,                 1.2818,                0.87835,                0.78115,                0.85501,                0.59072,                 1.1224,                0.84477,                 1.4162,               0.004852,               0.004852,               0.004852
                    107,                0.95645,                0.82315,                 1.2799,                0.88143,                0.77914,                0.85535,                0.59165,                 1.1207,                0.84331,                 1.4139,              0.0048025,              0.0048025,              0.0048025
                    108,                0.94556,                0.81617,                  1.267,                0.88244,                0.77825,                0.85496,                 0.5922,                 1.1194,                0.84168,                  1.413,               0.004753,               0.004753,               0.004753
                    109,                 0.9474,                0.81267,                 1.2738,                0.88185,                0.77892,                0.85532,                0.59343,                  1.118,                0.84018,                 1.4119,              0.0047035,              0.0047035,              0.0047035
                    110,                0.94485,                0.81584,                 1.2758,                0.88147,                0.77898,                0.85584,                0.59391,                 1.1175,                 0.8385,                 1.4122,               0.004654,               0.004654,               0.004654
                    111,                0.94484,                0.80911,                 1.2692,                0.88343,                0.77892,                0.85626,                0.59438,                 1.1162,                0.83663,                 1.4114,              0.0046045,              0.0046045,              0.0046045
                    112,                0.94265,                0.81015,                 1.2702,                0.88357,                0.77825,                0.85596,                0.59462,                 1.1153,                 0.8351,                 1.4108,               0.004555,               0.004555,               0.004555
                    113,                0.93485,                0.79661,                 1.2569,                 0.8827,                0.77847,                0.85589,                0.59494,                  1.114,                0.83431,                   1.41,              0.0045055,              0.0045055,              0.0045055
                    114,                0.92335,                0.79393,                 1.2509,                0.88336,                0.77807,                0.85632,                0.59503,                 1.1128,                 0.8338,                 1.4092,               0.004456,               0.004456,               0.004456
                    115,                 0.9325,                0.78982,                 1.2553,                0.88322,                0.77874,                0.85576,                0.59533,                 1.1122,                0.83291,                 1.4086,              0.0044065,              0.0044065,              0.0044065
                    116,                0.92544,                 0.7962,                 1.2551,                0.88391,                0.77736,                0.85554,                0.59606,                 1.1112,                 0.8322,                 1.4075,               0.004357,               0.004357,               0.004357
                    117,                0.92378,                0.78307,                 1.2472,                0.88436,                0.77716,                0.85489,                0.59621,                   1.11,                0.83189,                 1.4067,              0.0043075,              0.0043075,              0.0043075
                    118,                0.91975,                0.78135,                  1.247,                0.88494,                0.77649,                0.85487,                0.59741,                 1.1092,                0.83133,                 1.4059,               0.004258,               0.004258,               0.004258
                    119,                0.92492,                0.78305,                 1.2504,                0.88525,                0.77717,                0.85479,                0.59758,                 1.1084,                0.83099,                 1.4051,              0.0042085,              0.0042085,              0.0042085
                    120,                0.91816,                0.77925,                 1.2454,                0.88502,                0.77914,                0.85497,                0.59801,                 1.1076,                0.83045,                 1.4049,               0.004159,               0.004159,               0.004159
                    121,                0.90881,                0.77311,                 1.2405,                0.88174,                0.78101,                0.85471,                0.59836,                 1.1061,                 0.8292,                 1.4036,              0.0041095,              0.0041095,              0.0041095
                    122,                0.91324,                 0.7744,                 1.2416,                 0.8829,                0.78025,                0.85504,                0.59871,                  1.105,                0.82846,                 1.4025,                0.00406,                0.00406,                0.00406
                    123,                0.90477,                0.77014,                 1.2332,                0.88251,                0.78248,                0.85557,                0.59941,                  1.103,                0.82785,                 1.4004,              0.0040105,              0.0040105,              0.0040105
                    124,                0.90446,                0.76109,                 1.2372,                0.88167,                0.78293,                0.85503,                0.60003,                 1.1024,                0.82681,                    1.4,               0.003961,               0.003961,               0.003961
