                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.391,                 3.7541,                 3.8807,                0.03799,                0.08224,                0.02227,                0.00779,                  1.551,                 3.8466,                 3.3156,              0.0033237,              0.0033237,              0.0033237
                      2,                  1.986,                 2.9086,                 2.8821,                0.28209,                 0.2398,                0.17504,                0.06157,                  1.355,                 2.8528,                 2.7864,              0.0066241,              0.0066241,              0.0066241
                      3,                 1.8081,                 2.5245,                 2.4548,                 0.3211,                0.29374,                0.23166,                0.09057,                  1.333,                 2.7874,                 2.5194,              0.0098915,              0.0098915,              0.0098915
                      4,                 1.6883,                  2.296,                 2.2082,                0.39184,                0.30622,                0.27915,                 0.1173,                 1.3735,                 2.5098,                 2.3694,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6071,                  2.086,                 2.0546,                0.51666,                0.41721,                0.41574,                0.17943,                 1.3547,                 2.1835,                 2.2183,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.5511,                  1.964,                 1.9704,                0.55882,                0.42946,                0.45053,                0.19484,                 1.4148,                 2.0441,                 2.1768,               0.009802,               0.009802,               0.009802
                      7,                 1.5137,                 1.8649,                  1.919,                0.59539,                 0.4649,                 0.4896,                0.22259,                 1.4251,                 1.9379,                 2.0871,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.4916,                  1.809,                 1.8805,                0.59857,                0.47604,                0.50575,                0.23084,                 1.4863,                 1.9128,                 2.0654,               0.009703,               0.009703,               0.009703
                      9,                  1.458,                 1.7267,                 1.8346,                0.65598,                0.49811,                0.55375,                0.25445,                 1.4976,                 1.8193,                  2.031,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.4451,                 1.6863,                 1.8167,                0.64738,                0.50524,                0.55959,                 0.2623,                 1.5295,                 1.7179,                  2.032,               0.009604,               0.009604,               0.009604
                     11,                  1.426,                  1.647,                 1.7974,                0.66697,                0.52463,                0.58623,                 0.2824,                 1.4967,                 1.6707,                 1.9543,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.4037,                 1.6203,                 1.7698,                0.65635,                0.54647,                0.58959,                0.28026,                 1.5232,                 1.6817,                 1.9547,               0.009505,               0.009505,               0.009505
                     13,                 1.3798,                 1.5618,                 1.7489,                0.67349,                0.51972,                0.58288,                0.28201,                 1.5728,                  1.654,                 1.9651,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.3884,                 1.5555,                 1.7409,                0.65166,                0.53755,                0.58543,                0.28944,                 1.5255,                 1.6279,                 1.9099,               0.009406,               0.009406,               0.009406
                     15,                 1.3682,                 1.5232,                 1.7229,                0.68004,                0.56586,                0.61607,                0.30308,                  1.537,                 1.5752,                 1.9037,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.3514,                 1.5085,                 1.7102,                0.68934,                0.52124,                0.58725,                0.28831,                 1.5759,                 1.6358,                 1.9244,               0.009307,               0.009307,               0.009307
                     17,                 1.3494,                 1.4769,                 1.7011,                0.68413,                0.57789,                0.63177,                0.31702,                 1.5245,                 1.5212,                 1.8727,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.3386,                 1.4589,                 1.6943,                0.72268,                0.55754,                0.63635,                0.32245,                 1.5449,                 1.5179,                 1.8806,               0.009208,               0.009208,               0.009208
                     19,                 1.3313,                 1.4422,                 1.6853,                 0.7032,                0.58547,                0.65127,                 0.3285,                 1.5398,                 1.4954,                 1.8746,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.3191,                 1.4272,                 1.6737,                 0.7164,                 0.6082,                0.67311,                0.34511,                 1.5152,                  1.416,                 1.8439,               0.009109,               0.009109,               0.009109
                     21,                 1.3123,                 1.4131,                 1.6648,                0.68232,                0.59817,                0.65207,                0.34044,                 1.4897,                 1.4777,                  1.826,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.3092,                 1.4058,                 1.6586,                0.71345,                0.60842,                0.67676,                 0.3555,                 1.4873,                 1.4096,                 1.8183,                0.00901,                0.00901,                0.00901
                     23,                 1.2949,                 1.3736,                 1.6413,                0.72016,                0.61912,                 0.6797,                0.35107,                 1.5065,                 1.3926,                 1.8119,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.2924,                  1.372,                 1.6367,                 0.7136,                0.62359,                0.68681,                0.36287,                 1.4732,                 1.3776,                 1.7956,               0.008911,               0.008911,               0.008911
                     25,                 1.2792,                   1.35,                 1.6313,                0.72909,                0.63896,                 0.7021,                0.36906,                  1.482,                 1.3496,                 1.7903,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.2787,                 1.3365,                 1.6162,                0.70338,                0.61845,                 0.6824,                0.35515,                 1.5019,                 1.3751,                 1.8186,               0.008812,               0.008812,               0.008812
                     27,                 1.2683,                 1.3193,                 1.6127,                0.71739,                 0.6374,                0.69559,                0.36612,                 1.4947,                 1.3372,                 1.8008,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.2681,                 1.3253,                 1.6198,                0.73244,                0.64914,                 0.7104,                0.38304,                 1.4565,                 1.2908,                 1.7723,               0.008713,               0.008713,               0.008713
                     29,                 1.2618,                 1.3064,                 1.6076,                0.71997,                 0.6492,                0.71415,                0.38582,                 1.4516,                 1.3103,                 1.7658,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.2513,                 1.2854,                 1.5985,                0.74685,                0.66147,                0.72278,                0.39112,                 1.4461,                 1.2933,                 1.7579,               0.008614,               0.008614,               0.008614
                     31,                 1.2459,                 1.2839,                 1.5915,                0.75807,                0.65086,                0.72638,                0.40044,                 1.4202,                 1.2732,                  1.738,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.2453,                 1.2697,                 1.5893,                0.77397,                0.65553,                0.73747,                0.40318,                 1.4196,                 1.2487,                 1.7378,               0.008515,               0.008515,               0.008515
                     33,                 1.2369,                 1.2734,                 1.5859,                0.76064,                0.66715,                0.74406,                0.41147,                 1.4021,                 1.2151,                 1.7223,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.2302,                 1.2485,                 1.5735,                0.77642,                0.68308,                0.75138,                 0.4184,                  1.397,                 1.2181,                 1.7132,               0.008416,               0.008416,               0.008416
                     35,                 1.2259,                 1.2337,                 1.5707,                0.77025,                 0.6764,                0.74865,                 0.4201,                 1.4029,                 1.2057,                 1.7058,              0.0083665,              0.0083665,              0.0083665
                     36,                  1.224,                 1.2284,                 1.5604,                0.77333,                0.68197,                0.75507,                0.42645,                 1.3803,                 1.1799,                 1.6844,               0.008317,               0.008317,               0.008317
                     37,                  1.209,                 1.2147,                 1.5473,                0.76948,                0.68598,                0.75388,                 0.4255,                 1.4038,                 1.1893,                 1.6982,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.2095,                 1.2103,                  1.553,                 0.7789,                0.68175,                0.75877,                0.43185,                 1.3856,                 1.1675,                 1.6901,               0.008218,               0.008218,               0.008218
                     39,                 1.2095,                 1.2058,                 1.5407,                0.76874,                0.69646,                0.76052,                0.42987,                 1.3743,                 1.1571,                 1.6803,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.1966,                 1.1856,                  1.527,                0.78265,                0.69311,                0.76694,                0.43735,                 1.3696,                  1.141,                 1.6727,               0.008119,               0.008119,               0.008119
                     41,                 1.1915,                 1.1831,                 1.5276,                0.79339,                0.69913,                0.77465,                0.44608,                 1.3575,                 1.1318,                 1.6595,              0.0080695,              0.0080695,              0.0080695
