                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3526,                  3.787,                 3.9005,                0.01846,                0.09873,                0.01043,                0.00333,                 2.9052,                 4.6795,                 3.5513,              0.0033237,              0.0033237,              0.0033237
                      2,                  2.592,                 2.9177,                 2.8769,                0.29063,                0.24582,                0.18547,                0.06586,                 2.4557,                  2.774,                 2.7495,              0.0066241,              0.0066241,              0.0066241
                      3,                 2.2697,                 2.5326,                 2.4413,                0.34167,                0.30889,                 0.2556,                0.09468,                 2.2817,                 3.0076,                 2.5432,              0.0098915,              0.0098915,              0.0098915
                      4,                 2.0895,                 2.2833,                 2.1843,                 0.4392,                0.35725,                0.33478,                0.13823,                 2.1433,                 2.4093,                 2.2998,              0.0098515,              0.0098515,              0.0098515
                      5,                   1.98,                 2.1046,                 2.0244,                  0.532,                0.41565,                0.42381,                0.18539,                 2.0338,                 2.1422,                 2.1298,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.9114,                 1.9733,                 1.9446,                0.56574,                0.38779,                0.41128,                0.18269,                 2.0518,                  2.159,                 2.1062,               0.009802,               0.009802,               0.009802
                      7,                 1.8659,                 1.8922,                 1.8934,                0.57269,                0.45175,                0.48141,                0.21892,                 1.9915,                 1.9285,                 2.0351,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.8153,                 1.8047,                 1.8372,                0.53828,                0.44707,                0.45373,                0.20359,                 1.9916,                 2.0666,                 2.0507,               0.009703,               0.009703,               0.009703
                      9,                 1.7848,                 1.7396,                  1.802,                0.63784,                0.51059,                0.54831,                 0.2561,                 1.9266,                 1.7602,                 1.9675,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.7425,                 1.6736,                 1.7701,                0.62417,                0.49097,                0.52836,                0.24854,                 1.9307,                 1.8424,                 1.9731,               0.009604,               0.009604,               0.009604
                     11,                 1.7352,                 1.6442,                 1.7581,                0.59898,                0.49387,                0.51947,                0.24888,                 1.8996,                 1.7772,                 1.9356,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7109,                 1.6088,                 1.7365,                0.67157,                0.52329,                0.57809,                0.27581,                 1.8814,                 1.6853,                 1.9165,               0.009505,               0.009505,               0.009505
                     13,                 1.6834,                 1.5672,                 1.7122,                0.66318,                0.54201,                0.58651,                 0.2848,                 1.8838,                 1.6148,                  1.912,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.6834,                 1.5656,                 1.7101,                0.67954,                0.56899,                 0.6206,                0.30273,                 1.8497,                 1.5344,                  1.872,               0.009406,               0.009406,               0.009406
                     15,                 1.6668,                 1.5415,                 1.6951,                0.65715,                0.53354,                0.58673,                0.29079,                 1.8449,                 1.5835,                 1.8773,              0.0093565,              0.0093565,              0.0093565
                     16,                  1.642,                 1.5136,                 1.6782,                0.67349,                0.54223,                 0.5975,                0.29207,                 1.8502,                 1.5895,                 1.8841,               0.009307,               0.009307,               0.009307
                     17,                  1.642,                 1.4892,                 1.6702,                0.66187,                0.54134,                0.58979,                0.29282,                 1.8435,                 1.5688,                 1.8619,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6208,                 1.4646,                 1.6567,                0.69392,                0.56719,                0.62748,                0.32308,                  1.783,                 1.4921,                 1.8219,               0.009208,               0.009208,               0.009208
                     19,                 1.6079,                 1.4557,                 1.6461,                0.69756,                0.58598,                 0.6356,                0.31804,                 1.7949,                 1.5073,                 1.8207,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.5989,                 1.4318,                 1.6341,                0.72093,                0.58436,                0.65103,                0.32869,                 1.7891,                 1.4112,                 1.8113,               0.009109,               0.009109,               0.009109
                     21,                  1.587,                 1.4069,                 1.6238,                0.71689,                0.57901,                0.65311,                0.33561,                 1.7644,                 1.4397,                 1.7896,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.5843,                 1.4243,                 1.6259,                0.70735,                0.60385,                0.66274,                0.33944,                 1.7689,                 1.4225,                 1.7831,                0.00901,                0.00901,                0.00901
                     23,                 1.5619,                 1.3746,                 1.6017,                0.71992,                0.62336,                0.68683,                0.35639,                  1.745,                 1.3032,                 1.7763,              0.0089605,              0.0089605,              0.0089605
