                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5747,                 3.8882,                 4.0466,                0.05453,                0.10118,                0.01964,                0.00526,                 3.0186,                 4.8429,                  3.621,              0.0033237,              0.0033237,              0.0033237
                      2,                 2.6115,                 2.8324,                 2.9864,                0.28642,                0.23914,                0.17238,                0.06033,                 2.4945,                 2.8314,                 2.9411,              0.0066241,              0.0066241,              0.0066241
                      3,                 2.1555,                 2.3101,                 2.4479,                0.35184,                0.30789,                0.24371,                0.09456,                 2.2923,                 2.8447,                 2.6687,              0.0098915,              0.0098915,              0.0098915
                      4,                 1.9981,                 2.1063,                 2.2254,                 0.4718,                0.36817,                0.35033,                0.14822,                 2.1472,                 2.4575,                 2.4866,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.9063,                 1.9683,                 2.1041,                0.53491,                0.44328,                 0.4471,                0.19662,                 2.0296,                 2.1898,                 2.3261,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.8445,                 1.8636,                 2.0363,                0.55385,                  0.386,                0.41024,                0.18451,                 2.0294,                 2.1143,                 2.2976,               0.009802,               0.009802,               0.009802
                      7,                 1.8064,                 1.8085,                 2.0042,                0.58256,                0.50368,                0.51484,                0.23242,                 1.9562,                 1.8614,                 2.2416,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.7689,                 1.7478,                 1.9628,                0.60608,                0.47782,                0.52301,                0.24078,                 1.9582,                 1.8314,                 2.2266,               0.009703,               0.009703,               0.009703
                      9,                  1.745,                 1.6961,                 1.9329,                0.63835,                0.50256,                0.54442,                0.25493,                 1.9157,                 1.7103,                 2.1727,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.7177,                 1.6482,                  1.911,                0.65963,                0.51081,                0.56429,                0.27523,                 1.8878,                 1.6558,                 2.1465,               0.009604,               0.009604,               0.009604
                     11,                 1.7035,                 1.6179,                 1.8882,                0.63278,                0.53042,                0.57812,                0.28685,                 1.8553,                 1.6195,                 2.1188,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.6771,                 1.5869,                 1.8658,                0.64921,                0.53577,                0.58311,                0.28276,                 1.8604,                 1.6529,                 2.1088,               0.009505,               0.009505,               0.009505
                     13,                 1.6589,                 1.5483,                 1.8512,                0.64733,                0.55248,                0.59048,                0.29085,                 1.8481,                 1.5684,                 2.0901,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.6675,                 1.5503,                 1.8542,                0.67015,                0.53154,                0.60077,                0.29744,                 1.8428,                 1.5335,                 2.0863,               0.009406,               0.009406,               0.009406
                     15,                 1.6503,                 1.5284,                 1.8381,                0.68574,                0.56474,                0.62604,                0.31274,                 1.8195,                  1.506,                 2.0584,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6365,                 1.5063,                 1.8334,                0.69134,                0.54156,                0.60937,                0.30643,                 1.8381,                 1.5065,                 2.0827,               0.009307,               0.009307,               0.009307
                     17,                 1.6268,                 1.4887,                 1.8153,                0.69314,                0.56484,                0.62867,                0.31609,                 1.8116,                 1.4579,                 2.0461,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6177,                  1.471,                 1.8057,                0.71236,                0.57054,                0.64274,                0.32904,                 1.7937,                  1.426,                 2.0379,               0.009208,               0.009208,               0.009208
                     19,                 1.6112,                 1.4531,                  1.796,                0.69796,                0.59637,                0.65169,                0.33546,                 1.7576,                 1.3981,                 1.9968,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.5995,                 1.4409,                  1.784,                0.69499,                0.59817,                0.65143,                0.33446,                 1.7874,                 1.3921,                 2.0107,               0.009109,               0.009109,               0.009109
                     21,                  1.594,                  1.424,                 1.7765,                0.70852,                0.59646,                0.66172,                0.34512,                 1.7467,                 1.3715,                 1.9862,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.5893,                 1.4128,                 1.7724,                0.72381,                0.58591,                0.66107,                0.34534,                 1.7405,                 1.3891,                 1.9783,                0.00901,                0.00901,                0.00901
                     23,                 1.5695,                 1.3886,                 1.7571,                 0.7168,                0.60528,                0.66515,                0.35596,                 1.7379,                 1.3321,                 1.9486,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.5696,                 1.3925,                 1.7514,                0.72159,                0.59773,                0.66985,                0.35022,                 1.7383,                 1.3482,                 1.9762,               0.008911,               0.008911,               0.008911
                     25,                 1.5536,                 1.3712,                 1.7517,                 0.7164,                0.61252,                0.67649,                0.36173,                 1.7125,                 1.3453,                 1.9379,              0.0088615,              0.0088615,              0.0088615
                     26,                  1.561,                 1.3807,                 1.7345,                0.70659,                0.61722,                0.68296,                0.36729,                 1.6995,                 1.3115,                 1.9223,               0.008812,               0.008812,               0.008812
                     27,                 1.5437,                 1.3581,                 1.7325,                0.72981,                0.62046,                0.68883,                0.36858,                 1.6946,                 1.2863,                 1.9312,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5427,                 1.3625,                 1.7353,                0.73259,                0.63376,                0.69546,                0.37356,                 1.6926,                 1.2764,                 1.9329,               0.008713,               0.008713,               0.008713
                     29,                 1.5413,                 1.3455,                 1.7266,                0.74064,                0.62737,                0.70071,                0.37385,                 1.6956,                 1.2789,                 1.9151,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5281,                  1.325,                 1.7164,                0.76621,                 0.6189,                0.70382,                0.38083,                 1.6784,                 1.2559,                 1.8981,               0.008614,               0.008614,               0.008614
                     31,                   1.52,                 1.3289,                 1.7109,                0.74887,                0.63695,                0.71023,                0.38612,                  1.673,                 1.2414,                 1.9028,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.5173,                 1.3067,                  1.705,                0.76487,                0.63873,                0.72153,                0.39453,                 1.6499,                 1.2167,                 1.8848,               0.008515,               0.008515,               0.008515
                     33,                 1.5149,                 1.3218,                 1.7051,                0.75725,                0.65233,                0.72463,                0.39915,                 1.6451,                 1.1962,                 1.8814,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.5077,                 1.2992,                 1.6948,                0.77062,                0.65166,                0.72775,                0.40371,                 1.6327,                  1.199,                 1.8621,               0.008416,               0.008416,               0.008416
                     35,                 1.4964,                  1.289,                 1.6921,                0.76568,                0.65589,                0.72855,                0.40125,                 1.6311,                 1.1975,                  1.872,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.5077,                 1.2905,                 1.6949,                0.77532,                 0.6491,                0.73223,                0.40779,                 1.6167,                 1.1814,                 1.8497,               0.008317,               0.008317,               0.008317
                     37,                 1.4895,                 1.2772,                 1.6764,                0.75172,                0.67439,                 0.7357,                0.41111,                 1.6139,                 1.1539,                 1.8455,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.4885,                 1.2733,                 1.6711,                0.78162,                 0.6605,                0.73644,                0.41355,                 1.6079,                  1.154,                 1.8259,               0.008218,               0.008218,               0.008218
                     39,                 1.4867,                 1.2686,                 1.6694,                0.76102,                 0.6686,                0.73858,                 0.4138,                  1.602,                 1.1498,                 1.8325,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4755,                 1.2472,                 1.6541,                0.78014,                0.66901,                0.74388,                0.41725,                 1.6062,                 1.1325,                 1.8251,               0.008119,               0.008119,               0.008119
                     41,                 1.4733,                  1.248,                  1.655,                0.78554,                0.65946,                0.74298,                0.41755,                 1.5928,                  1.134,                 1.8139,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4617,                 1.2358,                  1.654,                0.79137,                0.65938,                0.74861,                0.42704,                 1.5845,                 1.1194,                  1.811,                0.00802,                0.00802,                0.00802
                     43,                 1.4667,                  1.245,                 1.6504,                0.76864,                0.68308,                0.75323,                0.42872,                 1.5672,                 1.1174,                 1.7969,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4633,                 1.2283,                 1.6475,                0.76728,                0.68409,                0.75609,                0.43099,                  1.577,                 1.1007,                 1.8029,               0.007921,               0.007921,               0.007921
                     45,                 1.4574,                 1.2137,                 1.6385,                0.80596,                0.66971,                 0.7607,                0.43392,                 1.5729,                  1.084,                 1.7979,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4452,                  1.213,                 1.6316,                0.79749,                0.67885,                0.76075,                0.43363,                 1.5668,                 1.0916,                 1.7889,               0.007822,               0.007822,               0.007822
                     47,                 1.4547,                 1.2087,                 1.6373,                0.79997,                0.67651,                 0.7669,                0.44103,                 1.5579,                 1.0757,                 1.7768,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4425,                 1.2099,                 1.6247,                0.80696,                0.67395,                0.76568,                0.44741,                  1.541,                 1.0692,                 1.7598,               0.007723,               0.007723,               0.007723
                     49,                 1.4435,                 1.2028,                 1.6215,                0.79612,                0.68955,                0.77125,                0.44701,                   1.54,                 1.0665,                 1.7598,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.4387,                 1.1897,                  1.622,                0.79251,                 0.6949,                0.77134,                0.44885,                 1.5313,                 1.0581,                 1.7537,               0.007624,               0.007624,               0.007624
                     51,                 1.4372,                 1.1943,                  1.617,                0.80017,                0.69066,                0.77266,                0.45091,                 1.5217,                 1.0493,                 1.7486,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.4326,                 1.1755,                 1.6172,                0.81005,                0.68754,                0.77578,                0.45369,                 1.5139,                 1.0382,                 1.7418,               0.007525,               0.007525,               0.007525
                     53,                 1.4322,                 1.1941,                  1.611,                  0.802,                0.69419,                0.77889,                0.45479,                 1.5152,                 1.0318,                 1.7433,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4226,                 1.1847,                 1.6061,                0.80211,                0.70279,                0.78064,                0.45872,                 1.5053,                 1.0246,                 1.7326,               0.007426,               0.007426,               0.007426
                     55,                 1.4146,                 1.1678,                 1.6038,                0.80298,                0.70604,                 0.7814,                0.46221,                 1.4984,                 1.0158,                 1.7319,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4166,                 1.1665,                 1.6011,                0.81609,                0.70069,                0.78407,                0.46437,                 1.4965,                 1.0108,                 1.7275,               0.007327,               0.007327,               0.007327
                     57,                 1.4117,                 1.1634,                 1.5974,                0.80655,                0.70805,                0.78342,                0.46457,                 1.4913,                 1.0101,                 1.7208,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.4059,                 1.1558,                 1.5926,                0.81136,                0.71183,                0.78695,                0.46859,                  1.484,                 1.0002,                  1.717,               0.007228,               0.007228,               0.007228
                     59,                 1.4007,                 1.1478,                 1.5893,                 0.7999,                0.71808,                0.78919,                0.47227,                 1.4767,                0.99801,                 1.7132,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.4022,                 1.1519,                 1.5839,                0.80759,                0.71184,                0.78923,                0.47335,                 1.4702,                0.99278,                 1.7034,               0.007129,               0.007129,               0.007129
                     61,                 1.4094,                 1.1531,                  1.593,                 0.8182,                0.70894,                0.78903,                0.47475,                  1.466,                0.99205,                 1.7028,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.3998,                 1.1318,                  1.576,                0.83164,                0.70091,                0.78956,                0.47605,                 1.4577,                0.98315,                 1.6929,                0.00703,                0.00703,                0.00703
                     63,                 1.3889,                 1.1308,                 1.5766,                0.82082,                0.71495,                0.79165,                0.48047,                 1.4524,                0.97398,                 1.6849,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.3862,                 1.1221,                 1.5689,                0.82588,                0.71807,                 0.7953,                0.48323,                 1.4436,                0.96936,                 1.6749,               0.006931,               0.006931,               0.006931
                     65,                  1.393,                 1.1403,                 1.5756,                0.82452,                0.72119,                0.79793,                0.48444,                 1.4425,                  0.968,                 1.6757,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.3899,                 1.1265,                 1.5769,                0.82325,                 0.7235,                0.79878,                0.48319,                 1.4457,                0.96907,                 1.6822,               0.006832,               0.006832,               0.006832
                     67,                 1.3764,                 1.1109,                 1.5512,                0.82146,                0.72743,                0.80123,                0.48531,                 1.4405,                0.96516,                  1.678,              0.0067825,              0.0067825,              0.0067825
                     68,                  1.379,                 1.1149,                 1.5652,                 0.8167,                0.73167,                0.80208,                0.48765,                 1.4275,                 0.9596,                  1.669,               0.006733,               0.006733,               0.006733
                     69,                 1.3758,                 1.1125,                  1.562,                0.82014,                0.73546,                0.80405,                0.48975,                 1.4227,                0.95336,                 1.6662,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.3692,                 1.1065,                 1.5554,                0.82853,                  0.731,                0.80278,                0.49195,                 1.4177,                0.94995,                 1.6597,               0.006634,               0.006634,               0.006634
                     71,                 1.3735,                 1.1046,                 1.5558,                0.82924,                0.73323,                0.80533,                0.49416,                 1.4153,                 0.9467,                  1.655,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.3661,                 1.0955,                 1.5537,                0.83017,                0.73278,                0.80636,                 0.4964,                   1.41,                0.94112,                 1.6518,               0.006535,               0.006535,               0.006535
                     73,                 1.3619,                  1.094,                 1.5463,                0.82721,                0.73724,                0.80747,                0.49842,                 1.4064,                 0.9353,                 1.6471,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.3596,                 1.0936,                   1.55,                0.82751,                0.73568,                0.80824,                0.50092,                  1.401,                0.93374,                 1.6425,               0.006436,               0.006436,               0.006436
                     75,                 1.3613,                 1.0874,                 1.5458,                0.82813,                 0.7359,                0.80905,                0.50255,                 1.3963,                0.93137,                 1.6395,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.3437,                 1.0785,                 1.5373,                0.83473,                0.73167,                0.80999,                0.50416,                 1.3923,                0.92837,                 1.6341,               0.006337,               0.006337,               0.006337
                     77,                 1.3552,                 1.0819,                 1.5378,                0.83726,                0.73153,                0.81033,                0.50584,                   1.39,                0.92681,                 1.6319,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.3487,                 1.0786,                 1.5353,                0.83521,                 0.7339,                0.81061,                0.50815,                 1.3863,                0.92414,                 1.6295,               0.006238,               0.006238,               0.006238
                     79,                 1.3525,                 1.0765,                 1.5412,                0.83732,                0.73479,                0.81161,                0.50932,                 1.3827,                0.92264,                 1.6266,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.3433,                 1.0647,                 1.5331,                0.83267,                0.74415,                0.81433,                0.51048,                   1.38,                0.91907,                 1.6246,               0.006139,               0.006139,               0.006139
                     81,                 1.3392,                 1.0682,                 1.5288,                0.83513,                0.74505,                0.81414,                0.51138,                 1.3765,                0.91631,                   1.62,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.3348,                 1.0577,                 1.5162,                0.83771,                0.74148,                0.81519,                0.51179,                 1.3743,                0.91381,                 1.6178,                0.00604,                0.00604,                0.00604
                     83,                 1.3368,                  1.059,                 1.5273,                0.83452,                0.74259,                0.81441,                0.51208,                 1.3721,                0.91217,                 1.6171,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.3304,                 1.0514,                  1.519,                0.83705,                0.74036,                0.81468,                0.51273,                 1.3698,                0.90894,                 1.6156,               0.005941,               0.005941,               0.005941
                     85,                 1.3316,                 1.0502,                 1.5173,                0.83806,                0.74393,                0.81543,                0.51449,                 1.3683,                0.90703,                 1.6132,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.3154,                 1.0399,                 1.5029,                 0.8402,                0.74408,                 0.8161,                0.51501,                 1.3656,                0.90585,                   1.61,               0.005842,               0.005842,               0.005842
                     87,                 1.3139,                 1.0305,                    1.5,                0.84391,                0.74103,                0.81663,                0.51588,                 1.3634,                0.90322,                 1.6073,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.3269,                 1.0516,                 1.5053,                0.85732,                0.73278,                0.81713,                0.51627,                 1.3618,                0.90098,                 1.6049,               0.005743,               0.005743,               0.005743
                     89,                 1.3222,                 1.0402,                 1.5102,                0.85684,                0.73524,                0.81787,                0.51806,                   1.36,                0.89855,                 1.6031,              0.0056935,              0.0056935,              0.0056935
                     90,                  1.317,                 1.0348,                 1.5015,                0.85339,                0.73811,                 0.8177,                0.51864,                  1.358,                0.89664,                 1.6011,               0.005644,               0.005644,               0.005644
                     91,                 1.3263,                 1.0458,                 1.5125,                0.85438,                0.74011,                0.81884,                0.51952,                 1.3564,                 0.8947,                 1.5992,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.3155,                 1.0302,                 1.5017,                0.85352,                 0.7428,                0.81982,                0.52045,                 1.3543,                0.89283,                 1.5975,               0.005545,               0.005545,               0.005545
                     93,                 1.3103,                 1.0224,                 1.4973,                0.85313,                0.74259,                0.82006,                 0.5207,                 1.3522,                0.89157,                 1.5954,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.3012,                 1.0109,                 1.4895,                0.85283,                 0.7437,                0.82017,                0.52129,                 1.3507,                0.89066,                 1.5934,               0.005446,               0.005446,               0.005446
                     95,                 1.3068,                  1.008,                 1.4885,                 0.8512,                0.74437,                   0.82,                0.52248,                 1.3488,                0.88901,                 1.5918,              0.0053965,              0.0053965,              0.0053965
                     96,                  1.304,                 1.0121,                 1.4906,                0.84907,                 0.7446,                0.82002,                0.52283,                 1.3476,                0.88845,                 1.5901,               0.005347,               0.005347,               0.005347
                     97,                 1.2969,                 1.0282,                  1.494,                0.84904,                0.74571,                 0.8202,                0.52325,                 1.3461,                0.88821,                 1.5889,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.2935,                 1.0009,                 1.4782,                0.85039,                0.74727,                0.82042,                0.52464,                 1.3446,                0.88682,                  1.587,               0.005248,               0.005248,               0.005248
                     99,                 1.2983,                 1.0109,                 1.4851,                0.85006,                 0.7466,                0.82044,                0.52482,                 1.3433,                0.88509,                 1.5859,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.2903,                0.99829,                 1.4766,                0.85066,                0.74771,                0.82076,                 0.5255,                 1.3415,                0.88326,                 1.5843,               0.005149,               0.005149,               0.005149
                    101,                 1.2861,                 0.9909,                 1.4763,                0.85265,                0.74539,                0.82116,                0.52704,                 1.3404,                0.88142,                  1.583,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.2877,                0.99238,                 1.4705,                0.85272,                 0.7466,                0.82181,                0.52753,                 1.3391,                0.87983,                 1.5824,                0.00505,                0.00505,                0.00505
                    103,                 1.2778,                0.99386,                 1.4648,                 0.8556,                0.74682,                0.82242,                0.52823,                  1.337,                0.87806,                 1.5801,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.2896,                0.99803,                 1.4733,                0.85425,                0.74718,                0.82298,                0.52897,                 1.3358,                0.87686,                  1.579,               0.004951,               0.004951,               0.004951
                    105,                 1.2745,                0.99291,                 1.4614,                0.85553,                0.74829,                0.82345,                0.52935,                 1.3347,                0.87562,                 1.5776,              0.0049015,              0.0049015,              0.0049015
                    106,                 1.2748,                0.98749,                 1.4659,                0.85241,                0.75039,                0.82367,                0.53045,                 1.3333,                0.87453,                 1.5763,               0.004852,               0.004852,               0.004852
                    107,                 1.2757,                0.98937,                 1.4664,                0.85034,                0.75217,                0.82363,                0.53131,                 1.3318,                0.87264,                 1.5745,              0.0048025,              0.0048025,              0.0048025
                    108,                 1.2591,                0.97146,                 1.4517,                0.84967,                0.75329,                0.82381,                0.53177,                 1.3308,                0.87114,                 1.5734,               0.004753,               0.004753,               0.004753
                    109,                 1.2651,                 0.9773,                 1.4566,                0.85216,                0.75262,                0.82415,                0.53317,                 1.3297,                0.86939,                 1.5719,              0.0047035,              0.0047035,              0.0047035
                    110,                 1.2674,                0.98083,                  1.455,                0.84909,                0.75396,                0.82432,                0.53361,                 1.3279,                0.86816,                 1.5701,               0.004654,               0.004654,               0.004654
                    111,                 1.2619,                0.97325,                 1.4508,                0.85164,                 0.7535,                0.82455,                0.53408,                 1.3262,                  0.867,                 1.5682,              0.0046045,              0.0046045,              0.0046045
