                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6147,                 3.9478,                 4.1024,                0.06302,                 0.0526,                0.01476,                0.00383,                 3.1923,                 4.1115,                 3.8327,              0.0033141,              0.0033141,              0.0033141
                      2,                 2.7373,                 2.9548,                 3.1715,                0.23895,                0.25384,                0.14733,                0.05104,                 2.4478,                 3.4653,                 2.8629,              0.0066145,              0.0066145,              0.0066145
                      3,                 2.1778,                 2.3177,                  2.472,                0.32415,                0.27101,                0.22524,                0.08375,                 2.2755,                 4.0804,                 2.6697,              0.0098819,              0.0098819,              0.0098819
                      4,                  1.977,                 2.0306,                   2.19,                0.48405,                0.36238,                0.34889,                0.13499,                 2.2022,                 2.4528,                 2.5869,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8662,                 1.8697,                 2.0559,                0.53264,                0.41721,                0.42196,                 0.1842,                 2.0739,                 2.1137,                 2.3744,              0.0098515,              0.0098515,              0.0098515
                      6,                  1.805,                 1.7847,                 1.9982,                0.60543,                 0.4883,                0.52501,                0.24089,                 1.9596,                 1.8966,                 2.2612,               0.009802,               0.009802,               0.009802
                      7,                 1.7591,                  1.708,                 1.9466,                 0.6101,                0.49565,                0.52526,                0.23923,                 1.9522,                 1.7865,                 2.2322,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.7238,                 1.6419,                 1.9113,                0.65664,                0.49269,                0.54489,                0.26275,                 1.8932,                 1.7564,                 2.1687,               0.009703,               0.009703,               0.009703
                      9,                  1.689,                 1.5961,                 1.8826,                0.64537,                  0.499,                0.54894,                0.26465,                 1.9422,                 1.6833,                 2.1984,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.6788,                  1.574,                 1.8728,                 0.6325,                0.48982,                0.52819,                0.25042,                 1.9583,                 1.7659,                 2.2243,               0.009604,               0.009604,               0.009604
                     11,                 1.6474,                  1.516,                 1.8435,                0.65917,                0.55431,                 0.6067,                0.30266,                  1.823,                 1.5411,                 2.0754,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.6324,                 1.4809,                 1.8211,                0.64818,                0.53378,                 0.5926,                0.29236,                  1.855,                 1.6553,                 2.1211,               0.009505,               0.009505,               0.009505
                     13,                  1.613,                 1.4721,                  1.813,                0.68148,                0.57499,                0.61443,                0.30093,                 1.8354,                  1.554,                  2.113,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.6068,                 1.4564,                 1.8059,                0.63658,                 0.5039,                0.55914,                0.28341,                 1.8186,                 1.6105,                 2.0731,               0.009406,               0.009406,               0.009406
                     15,                  1.582,                 1.4163,                 1.7857,                0.66898,                0.50189,                0.56972,                0.29074,                 1.8283,                 1.5954,                 2.0746,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.5719,                 1.3968,                 1.7766,                0.67603,                0.55962,                0.61641,                0.31195,                 1.8181,                 1.4778,                 2.0608,               0.009307,               0.009307,               0.009307
                     17,                 1.5631,                 1.3752,                   1.76,                0.69529,                0.57767,                0.64701,                0.34342,                 1.7187,                 1.3892,                 1.9974,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.5531,                 1.3626,                 1.7555,                  0.672,                0.58213,                0.63296,                0.33282,                 1.7545,                 1.3994,                 2.0002,               0.009208,               0.009208,               0.009208
                     19,                 1.5395,                 1.3361,                 1.7385,                0.74329,                0.61065,                0.68668,                0.36643,                 1.6946,                 1.2758,                 1.9592,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.5278,                 1.3359,                 1.7296,                0.70844,                0.61689,                0.68287,                0.36046,                 1.7153,                 1.2736,                 1.9651,               0.009109,               0.009109,               0.009109
                     21,                 1.5251,                 1.3202,                 1.7268,                0.72005,                0.62653,                0.69236,                 0.3691,                 1.7008,                 1.2734,                 1.9467,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.5037,                 1.2878,                 1.7054,                0.72115,                0.60932,                 0.6816,                0.37257,                 1.6818,                 1.2668,                 1.9441,                0.00901,                0.00901,                0.00901
                     23,                 1.5048,                 1.2922,                 1.7017,                0.73512,                0.61604,                 0.6889,                0.36662,                 1.6996,                 1.2864,                 1.9464,              0.0089605,              0.0089605,              0.0089605
