                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.456,                   3.76,                 3.9752,                0.08078,                0.07979,                0.02841,                0.00805,                 2.9951,                   4.93,                 3.5083,              0.0033141,              0.0033141,              0.0033141
                      2,                 2.7579,                 2.9251,                 3.1186,                0.19039,                0.16425,                0.09892,                0.03344,                 2.5701,                 3.1559,                 2.9709,              0.0066145,              0.0066145,              0.0066145
                      3,                 2.2955,                 2.4124,                 2.4891,                   0.17,                0.16604,                   0.08,                0.02834,                 2.4843,                 11.182,                 2.9797,              0.0098819,              0.0098819,              0.0098819
                      4,                 2.0654,                 2.1624,                 2.1572,                0.34537,                0.31123,                0.25656,                0.09907,                 2.2435,                 2.9096,                 2.3842,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.9402,                 1.9862,                 1.9892,                0.43146,                0.35503,                0.32873,                0.13854,                 2.1528,                  2.958,                 2.2401,              0.0098515,              0.0098515,              0.0098515
                      6,                  1.873,                 1.8814,                 1.9033,                0.57743,                0.43824,                 0.4747,                0.21466,                 2.0033,                 2.0943,                 2.0692,               0.009802,               0.009802,               0.009802
                      7,                 1.8137,                  1.783,                 1.8384,                0.51522,                0.45353,                0.45184,                0.20743,                 1.9816,                 2.0799,                 2.0396,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.7864,                 1.7302,                 1.8006,                0.53485,                 0.4357,                0.44946,                0.20444,                 2.0195,                 2.0046,                 2.0719,               0.009703,               0.009703,               0.009703
                      9,                 1.7558,                 1.6931,                 1.7732,                 0.5518,                0.44725,                0.46322,                0.21263,                 2.0041,                 1.9682,                 2.0355,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.7373,                   1.66,                 1.7546,                0.63199,                 0.4912,                0.53955,                0.25799,                 1.9072,                 1.8645,                 1.9252,               0.009604,               0.009604,               0.009604
                     11,                 1.7062,                 1.5988,                 1.7259,                0.55482,                0.41966,                0.44596,                0.21178,                 1.9589,                 2.0887,                 1.9804,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.6907,                 1.5671,                 1.6968,                0.62187,                 0.5025,                0.55073,                0.26128,                 1.9047,                 1.7166,                 1.8974,               0.009505,               0.009505,               0.009505
                     13,                 1.6839,                 1.5647,                 1.6967,                0.62836,                0.53433,                0.57618,                0.27958,                 1.8558,                 1.6984,                 1.8646,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.6708,                 1.5341,                 1.6764,                0.64654,                0.53399,                0.58007,                0.27945,                 1.8812,                 1.7059,                 1.8932,               0.009406,               0.009406,               0.009406
                     15,                 1.6548,                 1.5132,                 1.6699,                0.62987,                 0.5322,                0.57678,                0.28359,                 1.8648,                 1.6698,                 1.8718,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6393,                  1.484,                 1.6551,                0.66298,                0.52908,                0.58478,                0.28835,                  1.851,                 1.6503,                 1.8627,               0.009307,               0.009307,               0.009307
                     17,                 1.6347,                 1.4689,                 1.6477,                0.61895,                0.47069,                0.51502,                0.25316,                 1.8695,                 1.7074,                 1.8731,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6209,                 1.4546,                 1.6312,                0.64635,                0.51103,                0.56747,                0.29001,                 1.8131,                 1.5896,                 1.8007,               0.009208,               0.009208,               0.009208
                     19,                  1.615,                 1.4317,                 1.6241,                  0.663,                0.58903,                0.63355,                0.32877,                 1.7663,                 1.4564,                 1.7698,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.6007,                  1.419,                 1.6095,                0.68585,                0.59166,                0.64983,                0.33684,                 1.7479,                 1.4182,                 1.7502,               0.009109,               0.009109,               0.009109
                     21,                 1.5994,                 1.4107,                 1.6123,                0.70166,                0.59238,                0.65069,                0.33812,                 1.7491,                 1.3838,                 1.7578,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.5746,                 1.3754,                 1.5889,                0.68512,                0.56541,                0.62943,                0.32622,                 1.7536,                 1.4327,                  1.761,                0.00901,                0.00901,                0.00901
                     23,                 1.5759,                 1.3778,                 1.5814,                0.70671,                0.54268,                0.61806,                0.31499,                 1.7996,                  1.471,                 1.7821,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.5621,                 1.3602,                 1.5727,                0.71168,                0.61009,                0.67512,                 0.3589,                 1.7193,                 1.3112,                 1.7399,               0.008911,               0.008911,               0.008911
                     25,                 1.5597,                 1.3451,                 1.5683,                0.72525,                0.60642,                0.67327,                0.35773,                 1.7108,                 1.3176,                 1.7186,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.5501,                 1.3359,                 1.5585,                 0.7193,                0.62202,                0.68416,                0.35924,                 1.7158,                 1.3481,                 1.7158,               0.008812,               0.008812,               0.008812
                     27,                 1.5427,                 1.3273,                 1.5597,                0.73704,                0.61734,                0.69316,                0.37037,                 1.6935,                 1.2546,                 1.6959,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5457,                 1.3181,                 1.5554,                0.72177,                0.63294,                0.69314,                0.36878,                 1.6912,                 1.2805,                 1.7005,               0.008713,               0.008713,               0.008713
                     29,                 1.5388,                 1.3085,                 1.5443,                0.74449,                0.61734,                0.69786,                0.37635,                 1.6707,                 1.2456,                 1.6805,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5248,                 1.2946,                   1.54,                0.73283,                0.62492,                0.69637,                0.37909,                 1.6652,                 1.2782,                 1.6657,               0.008614,               0.008614,               0.008614
                     31,                 1.5253,                 1.2954,                 1.5404,                0.73325,                0.64387,                0.70575,                0.38252,                 1.6649,                 1.2236,                 1.6624,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.5231,                  1.282,                   1.53,                0.75264,                0.63762,                 0.7093,                0.39045,                 1.6328,                 1.2353,                 1.6503,               0.008515,               0.008515,               0.008515
                     33,                  1.502,                 1.2636,                 1.5191,                  0.757,                 0.6374,                0.71959,                0.39688,                 1.6294,                 1.1923,                 1.6398,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.4962,                 1.2509,                 1.5161,                0.74628,                 0.6394,                0.71592,                0.39425,                 1.6377,                 1.2088,                 1.6467,               0.008416,               0.008416,               0.008416
                     35,                 1.4913,                 1.2377,                 1.5093,                0.73708,                0.66392,                0.72316,                0.40144,                 1.6172,                 1.1949,                 1.6328,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.4893,                 1.2311,                 1.5036,                0.75978,                0.65478,                0.73201,                0.41034,                 1.6033,                 1.1483,                 1.6214,               0.008317,               0.008317,               0.008317
                     37,                 1.4839,                 1.2327,                 1.5028,                0.76711,                0.65032,                0.72792,                0.40601,                 1.6062,                 1.1445,                 1.6176,              0.0082675,              0.0082675,              0.0082675
                     38,                  1.481,                 1.2355,                 1.5016,                0.77088,                0.65812,                0.73489,                 0.4143,                 1.5881,                 1.1476,                 1.6091,               0.008218,               0.008218,               0.008218
                     39,                 1.4707,                 1.2136,                  1.499,                0.75573,                0.67172,                0.74248,                 0.4194,                 1.5957,                 1.1226,                 1.6128,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4685,                 1.2114,                  1.487,                0.77445,                0.65433,                0.73823,                0.41476,                 1.5861,                 1.1193,                 1.6009,               0.008119,               0.008119,               0.008119
                     41,                 1.4634,                 1.1999,                 1.4805,                0.78925,                0.66637,                0.75288,                0.42352,                 1.5621,                  1.109,                 1.5807,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4722,                 1.2105,                 1.4856,                0.78065,                0.67774,                0.75575,                0.42699,                 1.5629,                 1.0793,                 1.5871,                0.00802,                0.00802,                0.00802
                     43,                 1.4596,                 1.1934,                 1.4769,                0.77276,                0.67299,                0.75124,                 0.4283,                 1.5576,                 1.0955,                 1.5841,              0.0079705,              0.0079705,              0.0079705
                     44,                  1.444,                 1.1806,                 1.4712,                0.75745,                0.68932,                0.75018,                0.42837,                 1.5631,                 1.0964,                 1.5748,               0.007921,               0.007921,               0.007921
                     45,                 1.4406,                  1.171,                 1.4679,                0.78188,                0.67348,                0.75272,                0.43437,                 1.5326,                 1.0678,                 1.5639,              0.0078715,              0.0078715,              0.0078715
                     46,                  1.434,                 1.1533,                 1.4575,                0.77712,                0.69066,                0.76339,                0.44229,                 1.5233,                 1.0531,                 1.5569,               0.007822,               0.007822,               0.007822
                     47,                 1.4317,                 1.1612,                 1.4576,                0.77325,                0.68932,                 0.7651,                0.44454,                 1.5192,                 1.0508,                 1.5483,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4195,                 1.1363,                 1.4537,                0.78242,                0.69244,                 0.7685,                0.44829,                 1.5165,                 1.0373,                 1.5432,               0.007723,               0.007723,               0.007723
                     49,                 1.4249,                 1.1487,                 1.4492,                0.78081,                0.69891,                0.77129,                0.45079,                 1.4889,                 1.0406,                 1.5283,              0.0076735,              0.0076735,              0.0076735
                     50,                  1.415,                  1.127,                 1.4415,                0.78668,                0.70604,                0.77783,                0.45751,                 1.4811,                  1.009,                 1.5223,               0.007624,               0.007624,               0.007624
                     51,                 1.4182,                 1.1365,                 1.4471,                0.77724,                0.70918,                0.77502,                0.45768,                  1.477,                 1.0161,                  1.515,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.4176,                 1.1307,                 1.4407,                0.79479,                0.70403,                0.77902,                0.46119,                 1.4734,                0.99377,                 1.5094,               0.007525,               0.007525,               0.007525
                     53,                 1.4066,                 1.1131,                 1.4338,                0.79804,                0.70604,                0.78425,                0.46386,                 1.4618,                0.99318,                 1.5011,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4016,                 1.1112,                 1.4311,                0.78277,                0.71562,                0.78121,                0.46394,                 1.4613,                0.98854,                 1.5044,               0.007426,               0.007426,               0.007426
                     55,                 1.3972,                 1.1058,                 1.4264,                0.78621,                0.70894,                0.78044,                0.46636,                 1.4494,                0.98786,                 1.4935,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.3974,                 1.1142,                 1.4284,                0.79338,                0.70685,                0.78837,                0.47037,                 1.4499,                 0.9886,                 1.4914,               0.007327,               0.007327,               0.007327
                     57,                 1.3896,                 1.1054,                 1.4257,                0.78192,                0.71599,                0.78479,                0.47041,                 1.4489,                0.98426,                 1.4946,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.3743,                 1.0887,                 1.4101,                0.79032,                0.71741,                0.78874,                0.47546,                 1.4387,                0.96952,                 1.4875,               0.007228,               0.007228,               0.007228
                     59,                 1.3799,                 1.0836,                 1.4164,                0.79644,                0.72023,                0.79252,                0.47835,                 1.4287,                0.96237,                 1.4822,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.3744,                  1.079,                 1.4096,                0.80486,                0.71422,                0.79129,                0.48004,                 1.4266,                0.95129,                 1.4802,               0.007129,               0.007129,               0.007129
                     61,                 1.3732,                  1.085,                 1.4078,                0.80613,                0.72098,                0.79299,                0.48226,                 1.4177,                0.94953,                 1.4713,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.3631,                 1.0648,                 1.4007,                0.79674,                0.73033,                0.79572,                0.48465,                 1.4103,                0.95187,                 1.4673,                0.00703,                0.00703,                0.00703
                     63,                 1.3615,                 1.0549,                 1.3966,                0.80346,                0.72677,                0.79975,                0.48931,                 1.4036,                0.93557,                 1.4625,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.3603,                 1.0606,                 1.4011,                0.81243,                0.72689,                0.80386,                0.49347,                 1.3986,                0.92958,                 1.4589,               0.006931,               0.006931,               0.006931
                     65,                 1.3533,                 1.0561,                 1.3949,                0.80676,                0.73479,                0.80351,                 0.4949,                 1.3916,                0.93025,                 1.4544,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.3467,                 1.0439,                 1.3899,                 0.8097,                0.73368,                0.80393,                 0.4947,                  1.386,                0.92544,                 1.4475,               0.006832,               0.006832,               0.006832
                     67,                 1.3412,                 1.0368,                 1.3857,                0.82394,                0.72565,                  0.804,                0.49571,                 1.3858,                0.92437,                  1.444,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.3428,                 1.0436,                  1.388,                0.82522,                0.72721,                0.80552,                0.49802,                 1.3796,                0.91962,                 1.4404,               0.006733,               0.006733,               0.006733
                     69,                 1.3435,                 1.0369,                 1.3823,                0.81645,                0.73524,                0.80712,                0.50063,                 1.3724,                0.91862,                 1.4354,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.3441,                 1.0333,                 1.3854,                0.81923,                0.73724,                0.80958,                0.50282,                  1.368,                0.91234,                 1.4322,               0.006634,               0.006634,               0.006634
                     71,                 1.3384,                 1.0297,                 1.3788,                 0.8127,                0.74237,                0.81033,                0.50313,                 1.3604,                0.90495,                 1.4265,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.3286,                 1.0172,                 1.3713,                0.82128,                0.73535,                 0.8098,                 0.5058,                 1.3563,                0.89822,                 1.4232,               0.006535,               0.006535,               0.006535
                     73,                 1.3198,                 1.0146,                 1.3642,                0.82358,                0.73871,                0.81135,                0.50629,                 1.3534,                0.89227,                 1.4199,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.3165,                 1.0151,                 1.3671,                0.83375,                0.73542,                0.81342,                0.50711,                 1.3501,                0.88765,                 1.4182,               0.006436,               0.006436,               0.006436
                     75,                 1.3119,                0.99675,                 1.3586,                0.84519,                0.73004,                0.81528,                0.50964,                 1.3453,                0.88397,                 1.4164,              0.0063865,              0.0063865,              0.0063865
                     76,                  1.313,                 1.0043,                 1.3618,                0.83516,                0.73657,                0.81667,                0.51218,                 1.3408,                0.87848,                 1.4119,               0.006337,               0.006337,               0.006337
                     77,                 1.3094,                0.99438,                 1.3575,                0.84296,                 0.7368,                0.81684,                 0.5135,                 1.3354,                 0.8733,                 1.4081,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.3093,                 1.0017,                 1.3638,                0.84008,                0.73858,                0.81863,                0.51568,                 1.3298,                0.87033,                 1.4061,               0.006238,               0.006238,               0.006238
                     79,                 1.3058,                 0.9932,                 1.3543,                0.83814,                0.74435,                0.81903,                0.51729,                 1.3248,                0.86638,                 1.4042,              0.0061885,              0.0061885,              0.0061885
