                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.392,                 3.7631,                 3.9224,                0.01459,                0.16886,                0.00881,                0.00276,                 2.8962,                 8.3164,                 3.4261,              0.0033237,              0.0033237,              0.0033237
                      2,                  2.625,                 2.9615,                 2.9644,                0.24898,                0.24627,                0.15201,                0.04882,                 2.5053,                 2.8956,                 2.8824,              0.0066241,              0.0066241,              0.0066241
                      3,                 2.2745,                 2.5342,                 2.4747,                0.34576,                0.30934,                0.24828,                0.09049,                 2.3781,                 3.0252,                  2.632,              0.0098915,              0.0098915,              0.0098915
                      4,                 2.0937,                 2.2647,                 2.2071,                0.41275,                0.33096,                0.30271,                0.12308,                 2.2441,                 2.5518,                 2.4147,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.9739,                 2.0912,                 2.0533,                0.53916,                0.40049,                0.40783,                0.17349,                 2.0819,                 2.1618,                 2.2244,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.8963,                 1.9571,                 1.9604,                0.52521,                0.45197,                0.44562,                0.19742,                 2.0114,                 2.2887,                  2.148,               0.009802,               0.009802,               0.009802
                      7,                 1.8473,                 1.8641,                 1.9042,                0.57029,                 0.4669,                0.47524,                0.21399,                 1.9957,                 1.9129,                  2.085,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.7928,                 1.7825,                 1.8541,                0.61926,                0.45844,                0.49875,                0.23846,                 1.9367,                  1.868,                 2.0298,               0.009703,               0.009703,               0.009703
                      9,                 1.7646,                 1.7198,                 1.8219,                0.64041,                0.49097,                0.52916,                0.24862,                 1.9238,                 1.8095,                 2.0194,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.7389,                 1.6758,                 1.7991,                0.60997,                0.48585,                0.51963,                0.24014,                 1.9609,                   1.78,                 2.0645,               0.009604,               0.009604,               0.009604
                     11,                 1.7131,                 1.6242,                 1.7671,                0.64363,                0.52205,                0.56517,                0.27606,                 1.8527,                 1.6572,                 1.9155,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.6853,                 1.5981,                 1.7422,                 0.6652,                0.54179,                0.59646,                0.28302,                 1.8682,                  1.625,                 1.9529,               0.009505,               0.009505,               0.009505
                     13,                  1.663,                 1.5512,                 1.7245,                0.69259,                0.54246,                0.60187,                0.29314,                 1.8517,                 1.5858,                 1.9297,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.6573,                 1.5281,                 1.7102,                0.66562,                0.53644,                0.59511,                0.29647,                  1.831,                  1.575,                 1.8965,               0.009406,               0.009406,               0.009406
                     15,                 1.6405,                 1.5122,                 1.7019,                0.65045,                0.55627,                0.60449,                0.29108,                 1.8572,                 1.5937,                 1.9099,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6288,                 1.4927,                 1.6914,                0.68461,                0.58123,                 0.6343,                0.32538,                 1.7754,                 1.4758,                 1.8334,               0.009307,               0.009307,               0.009307
                     17,                 1.6188,                 1.4685,                 1.6749,                0.68824,                 0.5663,                0.62609,                0.31714,                 1.8003,                 1.4985,                 1.8491,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6061,                 1.4431,                  1.668,                0.70371,                0.57923,                0.64792,                0.33452,                  1.759,                 1.4349,                  1.837,               0.009208,               0.009208,               0.009208
                     19,                 1.5909,                 1.4317,                 1.6584,                0.69067,                0.59238,                 0.6485,                0.32989,                 1.7719,                 1.4281,                 1.8465,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.5802,                 1.4101,                 1.6443,                0.70385,                0.60226,                0.66413,                0.34875,                 1.7342,                 1.3793,                 1.8131,               0.009109,               0.009109,               0.009109
                     21,                 1.5674,                 1.3952,                 1.6345,                0.71504,                0.61043,                0.67503,                0.35401,                 1.7339,                  1.362,                 1.7984,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.5569,                 1.3768,                 1.6224,                0.69986,                0.61466,                0.66841,                0.35396,                 1.7124,                 1.3669,                 1.7981,                0.00901,                0.00901,                0.00901
                     23,                  1.541,                 1.3534,                 1.6089,                0.71863,                0.59996,                0.67454,                0.34384,                 1.7502,                 1.3362,                 1.8059,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.5426,                 1.3552,                 1.6039,                0.74047,                0.60278,                 0.6879,                0.36732,                 1.7039,                  1.309,                 1.7678,               0.008911,               0.008911,               0.008911
                     25,                 1.5288,                 1.3309,                 1.5989,                0.72451,                0.60312,                0.67932,                0.36388,                  1.695,                 1.3071,                 1.7521,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.5265,                 1.3244,                 1.5853,                0.74609,                0.63654,                0.71267,                0.38714,                 1.6566,                 1.2446,                 1.7302,               0.008812,               0.008812,               0.008812
                     27,                 1.5079,                 1.3083,                 1.5795,                0.73749,                 0.6452,                0.71331,                0.38664,                 1.6693,                 1.2357,                 1.7297,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5031,                 1.3055,                 1.5752,                0.73559,                0.63807,                0.71025,                0.38496,                 1.6847,                 1.2335,                 1.7367,               0.008713,               0.008713,               0.008713
                     29,                 1.5022,                 1.2876,                 1.5699,                0.75516,                0.63428,                0.71327,                0.39317,                  1.644,                 1.2314,                 1.7218,              0.0086635,              0.0086635,              0.0086635
